"","Municipal","County","State","Region","Year","Unemployment Rate (Avg)","Number of Unemployed (Avg)","Number of Employed (Avg)","Number in Labor Force (Avg)"
"7660",NA,"NA County",NA,"United States",1999,3.4,5233,149044,154277
"7661",NA,"NA County",NA,"United States",2000,2.6,3780,140988,144768
"7662",NA,"NA County",NA,"United States",2001,4.1,6012,141534,147546
"7663",NA,"NA County",NA,"United States",2002,6.3,9369,138843,148212
"7664",NA,"NA County",NA,"United States",2003,6.7,9820,136686,146506
"7665",NA,"NA County",NA,"United States",2004,5.7,8250,135919,144169
"7666",NA,"NA County",NA,"United States",2005,5.1,7387,136708,144095
"7667",NA,"NA County",NA,"United States",2006,4.8,7008,137996,145004
"7668",NA,"NA County",NA,"United States",2007,4.6,6699,139157,145856
"7669",NA,"NA County",NA,"United States",2008,5.5,8044,139091,147135
"7670",NA,"NA County",NA,"United States",2009,8.7,12942,135039,147981
"7671",NA,"NA County",NA,"United States",2010,8.6,12760,135340,148100
"7672",NA,"NA County",NA,"United States",2011,7.5,11139,136771,147910
"7673",NA,"NA County",NA,"United States",2012,7,10420,138280,148700
"7674",NA,"NA County",NA,"United States",1990,5.8,600,9780,10380
"7675",NA,"NA County",NA,"United States",1991,8.1,832,9463,10295
"7676",NA,"NA County",NA,"United States",1992,7.6,787,9588,10375
"7677",NA,"NA County",NA,"United States",1993,6.6,685,9745,10430
"7678",NA,"NA County",NA,"United States",1994,5.4,578,10046,10624
"7679",NA,"NA County",NA,"United States",1995,5,515,9855,10370
"7680",NA,"NA County",NA,"United States",1996,4,426,10212,10638
"7681",NA,"NA County",NA,"United States",1997,3.4,370,10648,11018
"7682",NA,"NA County",NA,"United States",1998,2.9,329,10978,11307
"7683",NA,"NA County",NA,"United States",1999,3,350,11270,11620
"7684",NA,"NA County",NA,"United States",2000,2.3,265,11108,11373
"7685",NA,"NA County",NA,"United States",2001,3.4,395,11088,11483
"7686",NA,"NA County",NA,"United States",2002,5.6,640,10832,11472
"7687",NA,"NA County",NA,"United States",2003,5.6,657,11030,11687
"7688",NA,"NA County",NA,"United States",2004,4.9,569,11129,11698
"7689",NA,"NA County",NA,"United States",2005,4.2,493,11237,11730
"7690",NA,"NA County",NA,"United States",2006,4,474,11261,11735
"7691",NA,"NA County",NA,"United States",2007,3.8,449,11298,11747
"7692",NA,"NA County",NA,"United States",2008,4.4,524,11252,11776
"7693",NA,"NA County",NA,"United States",2009,7.3,859,10969,11828
"7694",NA,"NA County",NA,"United States",2010,7.7,895,10745,11640
"7695",NA,"NA County",NA,"United States",2011,6.4,732,10780,11512
"7696",NA,"NA County",NA,"United States",2012,5.8,673,10872,11545
"7697",NA,"NA County",NA,"United States",1990,10.3,8533,74145,82678
"7698",NA,"NA County",NA,"United States",1991,13.9,11465,71289,82754
"7699",NA,"NA County",NA,"United States",1992,13.2,10755,70722,81477
"7700",NA,"NA County",NA,"United States",1993,11.4,9278,72251,81529
"7701",NA,"NA County",NA,"United States",1994,10.8,8848,73207,82055
"7702",NA,"NA County",NA,"United States",1995,10.2,8259,72809,81068
"7703",NA,"NA County",NA,"United States",1996,9.2,7283,72235,79518
"7704",NA,"NA County",NA,"United States",1997,7.9,6323,74011,80334
"7705",NA,"NA County",NA,"United States",1998,6.8,5410,74525,79935
"7706",NA,"NA County",NA,"United States",1999,6.1,4916,75134,80050
"7707",NA,"NA County",NA,"United States",2000,4.4,3653,78925,82578
"7708",NA,"NA County",NA,"United States",2001,5.4,4435,78032,82467
"7709",NA,"NA County",NA,"United States",2002,6.9,5791,78673,84464
"7710",NA,"NA County",NA,"United States",2003,7.7,6442,77159,83601
"7711",NA,"NA County",NA,"United States",2004,7,5867,77694,83561
"7712",NA,"NA County",NA,"United States",2005,6.8,5723,78621,84344
"7713",NA,"NA County",NA,"United States",2006,6.5,5584,79778,85362
"7714",NA,"NA County",NA,"United States",2007,6.4,5454,79402,84856
"7715",NA,"NA County",NA,"United States",2008,7.8,6660,78413,85073
"7716",NA,"NA County",NA,"United States",2009,11.4,9808,76418,86226
"7717",NA,"NA County",NA,"United States",2010,11.9,10320,76251,86571
"7718",NA,"NA County",NA,"United States",2011,10.8,9322,77064,86386
"7719",NA,"NA County",NA,"United States",2012,10.3,8923,77972,86895
"7720",NA,"NA County",NA,"United States",1990,9.3,1738,16904,18642
"7721",NA,"NA County",NA,"United States",1991,12.9,2399,16210,18609
"7722",NA,"NA County",NA,"United States",1992,11.9,2146,15869,18015
"7723",NA,"NA County",NA,"United States",1993,9.4,1687,16293,17980
"7724",NA,"NA County",NA,"United States",1994,8,1414,16216,17630
"7725",NA,"NA County",NA,"United States",1995,6.5,1102,15982,17084
"7726",NA,"NA County",NA,"United States",1996,5.9,1023,16173,17196
"7727",NA,"NA County",NA,"United States",1997,5.4,921,16270,17191
"7728",NA,"NA County",NA,"United States",1998,4.2,719,16421,17140
"7729",NA,"NA County",NA,"United States",1999,4.1,702,16505,17207
"7730",NA,"NA County",NA,"United States",2000,3.4,587,16761,17348
"7731",NA,"NA County",NA,"United States",2001,4.3,749,16808,17557
"7732",NA,"NA County",NA,"United States",2002,5.6,987,16704,17691
"7733",NA,"NA County",NA,"United States",2003,6.3,1099,16477,17576
"7734",NA,"NA County",NA,"United States",2004,5.9,1019,16335,17354
"7735",NA,"NA County",NA,"United States",2005,5.4,926,16357,17283
"7736",NA,"NA County",NA,"United States",2006,5.3,926,16458,17384
"7737",NA,"NA County",NA,"United States",2007,5.6,968,16442,17410
"7738",NA,"NA County",NA,"United States",2008,6.1,1073,16471,17544
"7739",NA,"NA County",NA,"United States",2009,9,1592,16182,17774
"7740",NA,"NA County",NA,"United States",2010,9.2,1617,15954,17571
"7741",NA,"NA County",NA,"United States",2011,8.3,1446,15937,17383
"7742",NA,"NA County",NA,"United States",2012,7.6,1296,15727,17023
"7743",NA,"NA County",NA,"United States",1990,9.4,1715,16486,18201
"7744",NA,"NA County",NA,"United States",1991,13.1,2378,15786,18164
"7745",NA,"NA County",NA,"United States",1992,12,2112,15450,17562
"7746",NA,"NA County",NA,"United States",1993,9.4,1652,15869,17521
"7747",NA,"NA County",NA,"United States",1994,8.1,1397,15790,17187
"7748",NA,"NA County",NA,"United States",1995,6.5,1082,15547,16629
"7749",NA,"NA County",NA,"United States",1996,5.9,992,15730,16722
"7750",NA,"NA County",NA,"United States",1997,5.4,901,15830,16731
"7751",NA,"NA County",NA,"United States",1998,4.2,706,15973,16679
"7752",NA,"NA County",NA,"United States",1999,4.1,683,16054,16737
"7753",NA,"NA County",NA,"United States",2000,3.4,573,16347,16920
"7754",NA,"NA County",NA,"United States",2001,4.3,728,16390,17118
"7755",NA,"NA County",NA,"United States",2002,5.6,966,16282,17248
"7756",NA,"NA County",NA,"United States",2003,6.2,1068,16060,17128
"7757",NA,"NA County",NA,"United States",2004,5.9,994,15918,16912
"7758",NA,"NA County",NA,"United States",2005,5.4,901,15937,16838
"7759",NA,"NA County",NA,"United States",2006,5.3,899,16030,16929
"7760",NA,"NA County",NA,"United States",2007,5.5,938,16016,16954
"7761",NA,"NA County",NA,"United States",2008,6.1,1043,16046,17089
"7762",NA,"NA County",NA,"United States",2009,8.9,1545,15763,17308
"7763",NA,"NA County",NA,"United States",2010,9.2,1576,15519,17095
"7764",NA,"NA County",NA,"United States",2011,8.4,1415,15503,16918
"7765",NA,"NA County",NA,"United States",2012,7.6,1258,15300,16558
"7766",NA,"NA County",NA,"United States",1990,6.3,7613,113904,121517
"7767",NA,"NA County",NA,"United States",1991,8.6,10375,110059,120434
"7768",NA,"NA County",NA,"United States",1992,9.1,10895,108719,119614
"7769",NA,"NA County",NA,"United States",1993,6.8,8018,109681,117699
"7770",NA,"NA County",NA,"United States",1994,5.9,6915,111149,118064
"7771",NA,"NA County",NA,"United States",1995,5.1,6013,112802,118815
"7772",NA,"NA County",NA,"United States",1996,4.2,5049,115027,120076
"7773",NA,"NA County",NA,"United States",1997,3.8,4690,118302,122992
"7774",NA,"NA County",NA,"United States",1998,3.3,4123,120431,124554
"7775",NA,"NA County",NA,"United States",1999,3.2,4007,121500,125507
"7776",NA,"NA County",NA,"United States",2000,2.6,3310,122413,125723
"7777",NA,"NA County",NA,"United States",2001,3.7,4700,123088,127788
"7778",NA,"NA County",NA,"United States",2002,5.3,6870,122402,129272
"7779",NA,"NA County",NA,"United States",2003,6,7773,121068,128841
"7780",NA,"NA County",NA,"United States",2004,5.5,7006,120301,127307
"7781",NA,"NA County",NA,"United States",2005,5,6416,120747,127163
"7782",NA,"NA County",NA,"United States",2006,4.9,6300,121636,127936
"7783",NA,"NA County",NA,"United States",2007,4.5,5783,121596,127379
"7784",NA,"NA County",NA,"United States",2008,5.3,6873,121738,128611
"7785",NA,"NA County",NA,"United States",2009,8.2,10629,118984,129613
"7786",NA,"NA County",NA,"United States",2010,8.1,10503,119486,129989
"7787",NA,"NA County",NA,"United States",2011,7,9157,120863,130020
"7788",NA,"NA County",NA,"United States",2012,6.7,8752,121793,130545
"7789",NA,"NA County",NA,"United States",1990,6.6,2531,35681,38212
"7790",NA,"NA County",NA,"United States",1991,10.9,4157,33980,38137
"7791",NA,"NA County",NA,"United States",1992,10.9,4081,33496,37577
"7792",NA,"NA County",NA,"United States",1993,8.8,3226,33559,36785
"7793",NA,"NA County",NA,"United States",1994,8.1,2950,33312,36262
"7794",NA,"NA County",NA,"United States",1995,6.7,2374,33141,35515
"7795",NA,"NA County",NA,"United States",1996,5.3,1886,33505,35391
"7796",NA,"NA County",NA,"United States",1997,5.2,1854,33742,35596
"7797",NA,"NA County",NA,"United States",1998,4.3,1512,33822,35334
"7798",NA,"NA County",NA,"United States",1999,4.1,1469,34103,35572
"7799",NA,"NA County",NA,"United States",2000,3,1135,36673,37808
"7800",NA,"NA County",NA,"United States",2001,3.6,1350,36606,37956
"7801",NA,"NA County",NA,"United States",2002,4.6,1776,37071,38847
"7802",NA,"NA County",NA,"United States",2003,5.1,1968,36838,38806
"7803",NA,"NA County",NA,"United States",2004,4.7,1809,36808,38617
"7804",NA,"NA County",NA,"United States",2005,4.4,1696,37223,38919
"7805",NA,"NA County",NA,"United States",2006,4.2,1672,37806,39478
"7806",NA,"NA County",NA,"United States",2007,4.3,1687,37596,39283
"7807",NA,"NA County",NA,"United States",2008,5.1,2003,37169,39172
"7808",NA,"NA County",NA,"United States",2009,7.8,3066,36081,39147
"7809",NA,"NA County",NA,"United States",2010,8.3,3230,35778,39008
"7810",NA,"NA County",NA,"United States",2011,7.4,2893,36108,39001
"7811",NA,"NA County",NA,"United States",2012,7,2722,35945,38667
"7812",NA,"NA County",NA,"United States",1990,7.5,4269,52585,56854
"7813",NA,"NA County",NA,"United States",1991,11.6,6556,50190,56746
"7814",NA,"NA County",NA,"United States",1992,11.2,6227,49365,55592
"7815",NA,"NA County",NA,"United States",1993,9,4913,49852,54765
"7816",NA,"NA County",NA,"United States",1994,8.1,4364,49528,53892
"7817",NA,"NA County",NA,"United States",1995,6.6,3476,49123,52599
"7818",NA,"NA County",NA,"United States",1996,5.5,2908,49678,52586
"7819",NA,"NA County",NA,"United States",1997,5.3,2775,50012,52787
"7820",NA,"NA County",NA,"United States",1998,4.3,2231,50243,52474
"7821",NA,"NA County",NA,"United States",1999,4.1,2171,50608,52779
"7822",NA,"NA County",NA,"United States",2000,3.1,1722,53434,55156
"7823",NA,"NA County",NA,"United States",2001,3.8,2099,53414,55513
"7824",NA,"NA County",NA,"United States",2002,4.9,2763,53775,56538
"7825",NA,"NA County",NA,"United States",2003,5.4,3067,53315,56382
"7826",NA,"NA County",NA,"United States",2004,5.1,2828,53143,55971
"7827",NA,"NA County",NA,"United States",2005,4.7,2622,53580,56202
"7828",NA,"NA County",NA,"United States",2006,4.6,2598,54264,56862
"7829",NA,"NA County",NA,"United States",2007,4.7,2654,54038,56692
"7830",NA,"NA County",NA,"United States",2008,5.4,3076,53639,56715
"7831",NA,"NA County",NA,"United States",2009,8.2,4658,52263,56921
"7832",NA,"NA County",NA,"United States",2010,8.6,4846,51732,56578
"7833",NA,"NA County",NA,"United States",2011,7.7,4339,52045,56384
"7834",NA,"NA County",NA,"United States",2012,7.2,4018,51672,55690
"7835",NA,"NA County",NA,"United States",1990,9,12535,126860,139395
"7836",NA,"NA County",NA,"United States",1991,12.8,17836,121902,139738
"7837",NA,"NA County",NA,"United States",1992,12.2,17029,122471,139500
"7838",NA,"NA County",NA,"United States",1993,10.8,15046,124830,139876
"7839",NA,"NA County",NA,"United States",1994,8.7,12059,126829,138888
"7840",NA,"NA County",NA,"United States",1995,8,11125,128164,139289
"7841",NA,"NA County",NA,"United States",1996,7.2,10067,129123,139190
"7842",NA,"NA County",NA,"United States",1997,6.2,8708,131879,140587
"7843",NA,"NA County",NA,"United States",1998,4.6,6453,133789,140242
"7844",NA,"NA County",NA,"United States",1999,4.3,6103,135188,141291
"7845",NA,"NA County",NA,"United States",2000,3.8,5489,137552,143041
"7846",NA,"NA County",NA,"United States",2001,4.9,7009,137025,144034
"7847",NA,"NA County",NA,"United States",2002,6.2,9181,138368,147549
"7848",NA,"NA County",NA,"United States",2003,6.4,9542,139566,149108
"7849",NA,"NA County",NA,"United States",2004,6.2,9288,139876,149164
"7850",NA,"NA County",NA,"United States",2005,6,8914,140601,149515
"7851",NA,"NA County",NA,"United States",2006,6.1,9203,141879,151082
"7852",NA,"NA County",NA,"United States",2007,5.9,8966,141889,150855
"7853",NA,"NA County",NA,"United States",2008,7.3,10913,139475,150388
"7854",NA,"NA County",NA,"United States",2009,11.4,17232,134250,151482
"7855",NA,"NA County",NA,"United States",2010,11.4,17194,133117,150311
"7856",NA,"NA County",NA,"United States",2011,10.7,16028,134181,150209
"7857",NA,"NA County",NA,"United States",2012,10,14867,134394,149261
"7858",NA,"NA County",NA,"United States",1990,6,20293,317603,337896
"7859",NA,"NA County",NA,"United States",1991,8.8,29812,307508,337320
"7860",NA,"NA County",NA,"United States",1992,8.8,29638,305588,335226
"7861",NA,"NA County",NA,"United States",1993,8.1,26701,304261,330962
"7862",NA,"NA County",NA,"United States",1994,7.2,23474,304756,328230
"7863",NA,"NA County",NA,"United States",1995,6.1,19752,303366,323118
"7864",NA,"NA County",NA,"United States",1996,4.9,15872,306171,322043
"7865",NA,"NA County",NA,"United States",1997,4.5,14762,312005,326767
"7866",NA,"NA County",NA,"United States",1998,3.9,12721,313108,325829
"7867",NA,"NA County",NA,"United States",1999,3.6,11792,315066,326858
"7868",NA,"NA County",NA,"United States",2000,3,9916,325430,335346
"7869",NA,"NA County",NA,"United States",2001,3.7,12658,326721,339379
"7870",NA,"NA County",NA,"United States",2002,5.1,17640,325844,343484
"7871",NA,"NA County",NA,"United States",2003,6,20568,323712,344280
"7872",NA,"NA County",NA,"United States",2004,5.6,19363,324271,343634
"7873",NA,"NA County",NA,"United States",2005,5.3,18310,325593,343903
"7874",NA,"NA County",NA,"United States",2006,5.3,18350,327858,346208
"7875",NA,"NA County",NA,"United States",2007,5.1,17583,327423,345006
"7876",NA,"NA County",NA,"United States",2008,5.9,20562,326653,347215
"7877",NA,"NA County",NA,"United States",2009,8.7,30205,317825,348030
"7878",NA,"NA County",NA,"United States",2010,9.2,32031,316078,348109
"7879",NA,"NA County",NA,"United States",2011,8.5,29066,312390,341456
"7880",NA,"NA County",NA,"United States",2012,7.9,26806,312100,338906
"7881",NA,"NA County",NA,"United States",1990,6.4,18331,269615,287946
"7882",NA,"NA County",NA,"United States",1991,9.3,26596,259938,286534
"7883",NA,"NA County",NA,"United States",1992,9.1,25849,258987,284836
"7884",NA,"NA County",NA,"United States",1993,8.3,23377,258290,281667
"7885",NA,"NA County",NA,"United States",1994,7.4,20567,259251,279818
"7886",NA,"NA County",NA,"United States",1995,6.2,17170,259609,276779
"7887",NA,"NA County",NA,"United States",1996,4.9,13617,262606,276223
"7888",NA,"NA County",NA,"United States",1997,4.5,12571,268412,280983
"7889",NA,"NA County",NA,"United States",1998,4,11324,269584,280908
"7890",NA,"NA County",NA,"United States",1999,3.8,10649,271157,281806
"7891",NA,"NA County",NA,"United States",2000,3.1,8906,280715,289621
"7892",NA,"NA County",NA,"United States",2001,3.9,11290,281361,292651
"7893",NA,"NA County",NA,"United States",2002,5.2,15546,280573,296119
"7894",NA,"NA County",NA,"United States",2003,6,17928,278565,296493
"7895",NA,"NA County",NA,"United States",2004,5.7,16978,278918,295896
"7896",NA,"NA County",NA,"United States",2005,5.4,16005,279804,295809
"7897",NA,"NA County",NA,"United States",2006,5.4,16149,281319,297468
"7898",NA,"NA County",NA,"United States",2007,5.2,15317,280579,295896
"7899",NA,"NA County",NA,"United States",2008,6,17817,279734,297551
"7900",NA,"NA County",NA,"United States",2009,8.8,26116,271535,297651
"7901",NA,"NA County",NA,"United States",2010,9.2,27383,269339,296722
"7902",NA,"NA County",NA,"United States",2011,8.5,24753,266510,291263
"7903",NA,"NA County",NA,"United States",2012,7.9,22815,266670,289485
"7904",NA,"NA County",NA,"United States",1990,5.8,22280,360011,382291
"7905",NA,"NA County",NA,"United States",1991,8.5,32523,348538,381061
"7906",NA,"NA County",NA,"United States",1992,8.5,32181,346103,378284
"7907",NA,"NA County",NA,"United States",1993,7.7,28703,345261,373964
"7908",NA,"NA County",NA,"United States",1994,6.8,25179,346699,371878
"7909",NA,"NA County",NA,"United States",1995,5.8,21378,345879,367257
"7910",NA,"NA County",NA,"United States",1996,4.7,17225,349074,366299
"7911",NA,"NA County",NA,"United States",1997,4.3,16056,355837,371893
"7912",NA,"NA County",NA,"United States",1998,3.7,13892,358013,371905
"7913",NA,"NA County",NA,"United States",1999,3.4,12876,360522,373398
"7914",NA,"NA County",NA,"United States",2000,2.9,10948,369976,380924
"7915",NA,"NA County",NA,"United States",2001,3.6,13897,371258,385155
"7916",NA,"NA County",NA,"United States",2002,4.9,19252,370667,389919
"7917",NA,"NA County",NA,"United States",2003,5.7,22430,368849,391279
"7918",NA,"NA County",NA,"United States",2004,5.4,21161,369160,390321
