"Municipal","County","State","Region","Five_Year_Range","Total_Population","Margin_Error_Total_Population","Male_Pct","Margin_Error_Male","Female_Pct","Margin_Error_Female","Age_under_5_Pct","Margin_Error_under_5_Pct","Age_5_9_Pct","Margin_Error_5_9_Pct","Age_10_14_Pct","Margin_Error_10_14_Pct","Age_15_19_Pct","Margin_Error_15_19_Pct","Age_20_24_Pct","Margin_Error_20_24_Pct","Age_25_34_Pct","Margin_Error_25_34_Pct","Age_35_44_Pct","Margin_Error_35_44_Pct","Age_45_54_Pct","Margin_Error_45_54_Pct","Age_55_59_Pct","Margin_Error_55_59_Pct","Age_60_64_Pct","Margin_Error_60_64_Pct","Age_65_74_Pct","Margin_Error_65_74_Pct","Age_75_84_Pct","Margin_Error_75_84_Pct","Age_over_85_Pct","Margin_Error_85._Pct","White_Pct","Margin_Error_White_Pct","Black_Pct","Margin_Error_Black_Pct","American_Indian_and_Alaska_Native_Pct","Margin_Error_American_Indian_and_Alaska_Native_Pct","Asian_Pct","Margin_Error_Asian_Pct","Hawaiian_and_Other_Pacific_Islander_Pct","Margin_Error_Hawaiian_and_Other_Pacific_Islander_Pct","Others_Pct","Margin_Error_Others_Pct","Hispanic_Pct","Margin_Error_Hispanic_Pct","Not_Hispanic_Pct","Margin_Error_Not_Hispanic_Pct","Age_under_20_Pct_plot","Age_20_34_Pct_plot","Age_35_54_Pct_plot","Age_55_64_Pct_plot","Age_65_74_Pct_plot","Age_over_75_Pct_plot"
"Stockbridge","Berkshire County","MA","Stockbridge","2006-2010",1671,"302",45.5,"4.1",54.5,"4.1",6.8,"3.5",6.2,3.4,3.9,2.8,2.5,2.6,6.4,4.7,11.3,"5.1",18.6,"5.9",10.1,"4",4.8,2.9,5.7,3.8,11.1,"4.7",7.6,3.7,5,3.2,93.2,6.4,1.9,2.8,0,2.2,3.5,5.5,0,2.2,1.4,2.2,4.2,"3.2",95.8,"3.2",19.4,17.7,28.7,10.5,11.1,12.6
"Stockbridge","Berkshire County","MA","Stockbridge","2007-2011",1755,"260",43.7,"4.9",56.3,"4.9",5.8,"3.9",6.2,2.5,3.2,1.5,4.1,3.1,6.4,4.4,6.6,"4.5",15.3,"5.8",11.4,"3.6",7.8,3.3,6.6,3.6,12.5,"4.5",9.7,3.7,4.3,3,94.4,3.5,3.7,3.3,0,2.1,0.8,1.3,0,2.1,1.1,2.4,3.2,"3.3",96.8,"3.3",19.3,13,26.7,14.4,12.5,14
"Stockbridge","Berkshire County","MA","Stockbridge","2008-2012",1934,"301",46.3,"5.5",53.7,"5.5",5.5,"3.4",7.1,3.1,2.5,1.8,3.2,2.4,5.7,3.9,7.4,"4",12.5,"4.7",14.7,"4",8.3,4.3,5.3,3.6,15.6,"5.3",9,3.7,3.1,1.9,94.7,3.7,4.9,3.9,0.4,0.6,1.4,2,0,1.8,0.8,1.9,2,"3.3",98,"3.3",18.3,13.1,27.2,13.6,15.6,12.1
"Stoneham","Middlesex County","MA","Stoneham","2005-2009",21362,"23",47,"1.7",53,"1.7",6.3,"1.1",5.4,1.2,5.1,0.8,5.3,1.1,5.3,1.1,10.5,"1.6",14.9,"1.3",16.9,"1.7",6.8,1.2,4.7,1.2,8.7,"1.1",6.6,0.8,3.5,0.7,95.5,1.4,2.5,1.1,0.4,0.4,2.7,1.2,0,0.2,0.5,0.6,1.6,"0.8",98.4,"0.8",22.1,15.8,31.8,11.5,8.7,10.1
"Stoneham","Middlesex County","MA","Stoneham","2006-2010",21320,"25",48,"1.5",52,"1.5",5.5,"1",5.8,1.1,5.3,0.8,4.7,1,4.8,1.3,11.2,"1.8",14.7,"1.3",16,"1.7",7.5,1.1,6,1.2,9.1,"1.1",6.2,0.8,3.4,0.8,94.9,1.5,2.6,1.1,0.5,0.5,3,1.2,0,0.2,0.9,0.9,1.9,"0.8",98.1,"0.8",21.3,16,30.7,13.5,9.1,9.6
"Stoneham","Middlesex County","MA","Stoneham","2007-2011",21413,"34",48.3,"1.3",51.7,"1.3",4.7,"1",5.9,1.3,5.3,0.9,5.5,1.2,5.1,1,11.4,"1.9",14.5,"1.4",15.4,"1.7",6.7,1.2,7.1,1.3,9.3,"1.3",6,1,3.1,0.7,93.7,1.6,2.6,1.1,0.6,0.6,3.7,1.4,0,0.2,1.4,1,2.9,"1.3",97.1,"1.3",21.4,16.5,29.9,13.8,9.3,9.1
"Stoneham","Middlesex County","MA","Stoneham","2008-2012",21414,"26",47.8,"1.3",52.2,"1.3",4.2,"0.9",5.8,1.1,5.3,1,5.6,1,5.1,1,12,"1.7",13.7,"1.3",14.9,"1.6",7.5,1.4,8.3,1.4,8.8,"1.1",5.6,0.9,3,0.8,91.9,2.4,2.2,0.9,0.7,0.6,4.6,1.8,0.1,0.1,1.9,1.2,2.5,"1.1",97.5,"1.1",20.9,17.1,28.6,15.8,8.8,8.6
"Stoughton","Norfolk County","MA","Stoughton","2005-2009",26910,"29",48.3,"1.6",51.7,"1.6",6.5,"1.3",4.6,0.8,6.2,0.9,8.4,2.5,7,2.8,8.2,"1.2",15.9,"1.8",16.4,"1.9",6.1,1,5.3,1,7.4,"1",5.4,0.8,2.6,0.7,86.8,2.2,10.6,2.2,0.2,0.1,2.3,0.8,0,0.1,0.9,0.6,1.9,"0.7",98.1,"0.7",25.7,15.2,32.3,11.4,7.4,8
"Stoughton","Norfolk County","MA","Stoughton","2006-2010",26781,"37",48.3,"1.6",51.7,"1.6",6.1,"1",4.9,0.8,5.8,0.9,7.4,1.6,6.3,1.9,8.5,"1.3",16.3,"1.5",17.1,"1.5",6.2,1,5.5,0.9,7.7,"1",5.6,1,2.6,0.6,85.7,2.2,10.3,1.7,0.3,0.2,3.6,1.3,0,0.1,1.5,0.8,2.2,"0.7",97.8,"0.7",24.2,14.8,33.4,11.7,7.7,8.2
"Stoughton","Norfolk County","MA","Stoughton","2007-2011",26893,"54",47.5,"1.7",52.5,"1.7",6.1,"1",5,0.9,5.2,0.8,6.2,1,6.4,1.2,9.1,"1.6",15.6,"1.5",16.7,"1.8",6.5,1,6.6,0.9,8.9,"1",5.2,0.7,2.6,0.7,85.5,1.9,11.2,1.7,0.5,0.3,2.8,1.1,0.1,0.2,1.5,0.7,2.1,"0.7",97.9,"0.7",22.5,15.5,32.3,13.1,8.9,7.8
