"","Municipal","County","State","Region","Five Year Average","Total; Estimate; Population for whom poverty status is determined","Below poverty level; Estimate; Population for whom poverty status is determined","Percent below poverty level; Estimate; Population for whom poverty status is determined","Percent below poverty level; Margin of Error; Population for whom poverty status is determined"
"665","Rochester","Plymouth County","MA","Rochester","2006-2010",5056,184,"3.6","2.6"
"666","Rockland","Plymouth County","MA","Rockland","2006-2010",17442,984,"5.6","2.1"
"667","Scituate","Plymouth County","MA","Scituate","2006-2010",18002,550,"3.1","1.5"
"668","Wareham","Plymouth County","MA","Wareham","2006-2010",21349,1928,"9","2.5"
"669","West Bridgewater","Plymouth County","MA","West Bridgewater","2006-2010",6642,384,"5.8","3.2"
"670","Whitman","Plymouth County","MA","Whitman","2006-2010",14316,921,"6.4","2.2"
"671","Boston","Suffolk County","MA","Boston","2006-2010",566783,120413,"21.2","0.7"
"672","Chelsea","Suffolk County","MA","Chelsea","2006-2010",33988,8236,"24.2","3.7"
"673","Revere","Suffolk County","MA","Revere","2006-2010",49607,7278,"14.7","2.2"
"674","Winthrop","Suffolk County","MA","Winthrop","2006-2010",17290,1770,"10.2","2.7"
"675","Ashburnham","Worcester County","MA","Ashburnham","2006-2010",5991,325,"5.4","3.9"
"676","Athol","Worcester County","MA","Athol","2006-2010",11270,1021,"9.1","3"
"677","Auburn","Worcester County","MA","Auburn","2006-2010",16131,930,"5.8","2.2"
"678","Barre","Worcester County","MA","Barre","2006-2010",5335,399,"7.5","4.3"
"679","Berlin","Worcester County","MA","Berlin","2006-2010",2786,50,"1.8","1"
"680","Blackstone","Worcester County","MA","Blackstone","2006-2010",8884,334,"3.8","2.2"
"681","Bolton","Worcester County","MA","Bolton","2006-2010",4779,112,"2.3","1.8"
"682","Boylston","Worcester County","MA","Boylston","2006-2010",4294,47,"1.1","0.9"
"683","Brookfield","Worcester County","MA","Brookfield","2006-2010",3334,70,"2.1","1.7"
"684","Charlton","Worcester County","MA","Charlton","2006-2010",12535,440,"3.5","1.9"
"685","Clinton","Worcester County","MA","Clinton","2006-2010",13330,1138,"8.5","2.7"
"686","Douglas","Worcester County","MA","Douglas","2006-2010",8239,175,"2.1","1.4"
"687","Dudley","Worcester County","MA","Dudley","2006-2010",10674,812,"7.6","2.9"
"688","East Brookfield","Worcester County","MA","East Brookfield","2006-2010",2019,143,"7.1","4.9"
"689","Fitchburg","Worcester County","MA","Fitchburg","2006-2010",37541,7277,"19.4","2.9"
"690","Gardner","Worcester County","MA","Gardner","2006-2010",19002,2166,"11.4","2.3"
"691","Grafton","Worcester County","MA","Grafton","2006-2010",17075,1112,"6.5","1.9"
"692","Hardwick","Worcester County","MA","Hardwick","2006-2010",2872,282,"9.8","4.3"
"693","Harvard","Worcester County","MA","Harvard","2006-2010",5487,300,"5.5","5.2"
"694","Holden","Worcester County","MA","Holden","2006-2010",16765,561,"3.3","1.1"
"695","Hopedale","Worcester County","MA","Hopedale","2006-2010",5827,343,"5.9","4"
"696","Hubbardston","Worcester County","MA","Hubbardston","2006-2010",4310,411,"9.5","6.9"
"697","Lancaster","Worcester County","MA","Lancaster","2006-2010",6456,591,"9.2","4.9"
"698","Leicester","Worcester County","MA","Leicester","2006-2010",10489,431,"4.1","2"
"699","Leominster","Worcester County","MA","Leominster","2006-2010",40545,4002,"9.9","2.3"
"700","Lunenburg","Worcester County","MA","Lunenburg","2006-2010",9985,547,"5.5","2.7"
"701","Mendon","Worcester County","MA","Mendon","2006-2010",5759,127,"2.2","2.6"
"702","Milford","Worcester County","MA","Milford","2006-2010",27428,2121,"7.7","2.1"
"703","Millbury","Worcester County","MA","Millbury","2006-2010",12916,437,"3.4","1.3"
"704","Millville","Worcester County","MA","Millville","2006-2010",3088,99,"3.2","1.9"
"705","New Braintree","Worcester County","MA","New Braintree","2006-2010",997,24,"2.4","2.3"
"706","Northborough","Worcester County","MA","Northborough","2006-2010",14100,616,"4.4","2"
"707","Northbridge","Worcester County","MA","Northbridge","2006-2010",14983,762,"5.1","2.2"
"708","North Brookfield","Worcester County","MA","North Brookfield","2006-2010",4691,265,"5.6","3"
"709","Oakham","Worcester County","MA","Oakham","2006-2010",1850,89,"4.8","2.8"
"710","Oxford","Worcester County","MA","Oxford","2006-2010",13621,738,"5.4","1.9"
"711","Paxton","Worcester County","MA","Paxton","2006-2010",4323,188,"4.3","4"
"712","Petersham","Worcester County","MA","Petersham","2006-2010",1339,234,"17.5","10."
"713","Phillipston","Worcester County","MA","Phillipston","2006-2010",1849,65,"3.5","1.5"
"714","Princeton","Worcester County","MA","Princeton","2006-2010",3406,42,"1.2","1.1"
"715","Royalston","Worcester County","MA","Royalston","2006-2010",1100,45,"4.1","2.9"
"716","Rutland","Worcester County","MA","Rutland","2006-2010",7594,372,"4.9","2.9"
"717","Shrewsbury","Worcester County","MA","Shrewsbury","2006-2010",34851,1280,"3.7","1.2"
"718","Southborough","Worcester County","MA","Southborough","2006-2010",9617,124,"1.3","0.9"
"719","Southbridge","Worcester County","MA","Southbridge","2006-2010",16532,2093,"12.7","2.7"
"720","Spencer","Worcester County","MA","Spencer","2006-2010",11712,745,"6.4","1.7"
"721","Sterling","Worcester County","MA","Sterling","2006-2010",7706,232,"3","1.5"
"722","Sturbridge","Worcester County","MA","Sturbridge","2006-2010",8971,826,"9.2","4.1"
"723","Sutton","Worcester County","MA","Sutton","2006-2010",8869,132,"1.5","1"
"724","Templeton","Worcester County","MA","Templeton","2006-2010",7591,617,"8.1","3.1"
"725","Upton","Worcester County","MA","Upton","2006-2010",7143,368,"5.2","2.8"
"726","Uxbridge","Worcester County","MA","Uxbridge","2006-2010",13056,852,"6.5","2.5"
"727","Warren","Worcester County","MA","Warren","2006-2010",5055,404,"8","3.6"
"728","Webster","Worcester County","MA","Webster","2006-2010",16321,1986,"12.2","2.4"
"729","Westborough","Worcester County","MA","Westborough","2006-2010",17937,655,"3.7","1.7"
"730","West Boylston","Worcester County","MA","West Boylston","2006-2010",5615,88,"1.6","1.4"
"731","West Brookfield","Worcester County","MA","West Brookfield","2006-2010",3594,305,"8.5","4.7"
"732","Westminster","Worcester County","MA","Westminster","2006-2010",7079,317,"4.5","2.5"
"733","Winchendon","Worcester County","MA","Winchendon","2006-2010",10074,984,"9.8","3.7"
"734","Worcester","Worcester County","MA","Worcester","2006-2010",168096,30789,"18.3","1.1"
"735",NA,"NA County",NA,"United States","2007-2011",298787998,42739924,"14.3","0.1"
"736",NA,"NA County","MA","MA","2007-2011",6288679,673467,"10.7","0.2"
"737",NA,"Barnstable County","MA","Barnstable County","2007-2011",212789,17884,"8.4","0.5"
"738",NA,"Berkshire County","MA","Berkshire County","2007-2011",125881,14915,"11.8","0.9"
"739",NA,"Bristol County","MA","Bristol County","2007-2011",534131,60607,"11.3","0.5"
"740",NA,"Dukes County","MA","Dukes County","2007-2011",16217,1649,"10.2","2.7"
"741",NA,"Essex County","MA","Essex County","2007-2011",723679,76489,"10.6","0.5"
"742",NA,"Franklin County","MA","Franklin County","2007-2011",70254,8333,"11.9","1.1"
"743",NA,"Hampden County","MA","Hampden County","2007-2011",446946,74413,"16.6","0.5"
"744",NA,"Hampshire County","MA","Hampshire County","2007-2011",134122,15842,"11.8","0.9"
"745",NA,"Middlesex County","MA","Middlesex County","2007-2011",1442079,111267,"7.7","0.3"
"746",NA,"Nantucket County","MA","Nantucket County","2007-2011",9990,880,"8.8","3.2"
"747",NA,"Norfolk County","MA","Norfolk County","2007-2011",648317,40857,"6.3","0.4"
"748",NA,"Plymouth County","MA","Plymouth County","2007-2011",481335,34422,"7.2","0.4"
"749",NA,"Suffolk County","MA","Suffolk County","2007-2011",674038,140057,"20.8","0.5"
"750",NA,"Worcester County","MA","Worcester County","2007-2011",768901,75852,"9.9","0.4"
"751","Barnstable","Barnstable County","MA","Barnstable","2007-2011",45111,3849,"8.5","1.5"
"752","Bourne","Barnstable County","MA","Bourne","2007-2011",18424,1644,"8.9","2.1"
"753","Brewster","Barnstable County","MA","Brewster","2007-2011",9464,1036,"10.9","3"
"754","Chatham","Barnstable County","MA","Chatham","2007-2011",5949,475,"8","2.3"
"755","Dennis","Barnstable County","MA","Dennis","2007-2011",14364,2053,"14.3","3.6"
"756","Eastham","Barnstable County","MA","Eastham","2007-2011",5011,347,"6.9","3.5"
"757","Falmouth","Barnstable County","MA","Falmouth","2007-2011",30988,2428,"7.8","1.7"
"758","Harwich","Barnstable County","MA","Harwich","2007-2011",12118,956,"7.9","2.8"
"759","Mashpee","Barnstable County","MA","Mashpee","2007-2011",13816,1190,"8.6","2.8"
"760","Orleans","Barnstable County","MA","Orleans","2007-2011",5885,286,"4.9","4.7"
"761","Provincetown","Barnstable County","MA","Provincetown","2007-2011",2865,442,"15.4","3.5"
"762","Sandwich","Barnstable County","MA","Sandwich","2007-2011",20285,689,"3.4","1.2"
"763","Truro","Barnstable County","MA","Truro","2007-2011",1892,178,"9.4","7.9"
"764","Wellfleet","Barnstable County","MA","Wellfleet","2007-2011",2851,295,"10.3","7.6"
"765","Yarmouth","Barnstable County","MA","Yarmouth","2007-2011",23766,2016,"8.5","1.8"
"766","Adams","Berkshire County","MA","Adams","2007-2011",8489,956,"11.3","3"
"767","Alford","Berkshire County","MA","Alford","2007-2011",501,18,"3.6","2.3"
"768","Becket","Berkshire County","MA","Becket","2007-2011",1739,255,"14.7","7.9"
"769","Cheshire","Berkshire County","MA","Cheshire","2007-2011",3245,405,"12.5","7.9"
"770","Clarksburg","Berkshire County","MA","Clarksburg","2007-2011",1844,53,"2.9","1.6"
"771","Dalton","Berkshire County","MA","Dalton","2007-2011",6650,476,"7.2","3.6"
"772","Egremont","Berkshire County","MA","Egremont","2007-2011",1043,63,"6","3.3"
"773","Florida","Berkshire County","MA","Florida","2007-2011",716,45,"6.3","3.9"
"774","Great Barrington","Berkshire County","MA","Great Barrington","2007-2011",6309,765,"12.1","3.9"
"775","Hancock","Berkshire County","MA","Hancock","2007-2011",702,55,"7.8","8.1"
"776","Hinsdale","Berkshire County","MA","Hinsdale","2007-2011",2136,84,"3.9","2.9"
"777","Lanesborough","Berkshire County","MA","Lanesborough","2007-2011",3058,97,"3.2","1.9"
"778","Lee","Berkshire County","MA","Lee","2007-2011",5824,473,"8.1","5.5"
"779","Lenox","Berkshire County","MA","Lenox","2007-2011",4760,610,"12.8","5.7"
"780","Monterey","Berkshire County","MA","Monterey","2007-2011",793,40,"5","3.9"
"781","Mount Washington","Berkshire County","MA","Mount Washington","2007-2011",150,15,"10","6.9"
"782","New Ashford","Berkshire County","MA","New Ashford","2007-2011",225,3,"1.3","1.7"
"783","New Marlborough","Berkshire County","MA","New Marlborough","2007-2011",1445,83,"5.7","2.1"
"784","North Adams","Berkshire County","MA","North Adams","2007-2011",12542,2161,"17.2","3.6"
"785","Otis","Berkshire County","MA","Otis","2007-2011",1238,158,"12.8","6"
"786","Peru","Berkshire County","MA","Peru","2007-2011",863,61,"7.1","4.1"
"787","Pittsfield","Berkshire County","MA","Pittsfield","2007-2011",43532,6932,"15.9","1.8"
"788","Richmond","Berkshire County","MA","Richmond","2007-2011",1663,49,"2.9","1.4"
"789","Sandisfield","Berkshire County","MA","Sandisfield","2007-2011",941,42,"4.5","2.5"
"790","Savoy","Berkshire County","MA","Savoy","2007-2011",702,44,"6.3","3.5"
"791","Sheffield","Berkshire County","MA","Sheffield","2007-2011",3254,176,"5.4","3.2"
"792","Stockbridge","Berkshire County","MA","Stockbridge","2007-2011",1710,193,"11.3","6.8"
"793","Tyringham","Berkshire County","MA","Tyringham","2007-2011",358,14,"3.9","5.2"
"794","Washington","Berkshire County","MA","Washington","2007-2011",583,34,"5.8","4.4"
"795","West Stockbridge","Berkshire County","MA","West Stockbridge","2007-2011",1558,90,"5.8","3.1"
"796","Williamstown","Berkshire County","MA","Williamstown","2007-2011",6406,453,"7.1","2.5"
"797","Windsor","Berkshire County","MA","Windsor","2007-2011",902,12,"1.3","1.9"
"798","Acushnet","Bristol County","MA","Acushnet","2007-2011",10299,513,"5","3"
"799","Attleboro","Bristol County","MA","Attleboro","2007-2011",42963,2770,"6.4","1.2"
"800","Berkley","Bristol County","MA","Berkley","2007-2011",6334,322,"5.1","3.5"
