"","Municipal","County","State","Region","Five Year Average","Total; Estimate; Population for whom poverty status is determined","Below poverty level; Estimate; Population for whom poverty status is determined","Percent below poverty level; Estimate; Population for whom poverty status is determined","Percent below poverty level; Margin of Error; Population for whom poverty status is determined"
"1382","Duxbury","Plymouth County","MA","Duxbury","2008-2012",14893,539,"3.6","1.8"
"1383","East Bridgewater","Plymouth County","MA","East Bridgewater","2008-2012",13616,963,"7.1","4.1"
"1384","Halifax","Plymouth County","MA","Halifax","2008-2012",7472,331,"4.4","2.4"
"1385","Hanover","Plymouth County","MA","Hanover","2008-2012",13850,410,"3","1.4"
"1386","Hanson","Plymouth County","MA","Hanson","2008-2012",10183,250,"2.5","1.2"
"1387","Hingham","Plymouth County","MA","Hingham","2008-2012",21916,389,"1.8","0.6"
"1388","Hull","Plymouth County","MA","Hull","2008-2012",10329,562,"5.4","1.7"
"1389","Kingston","Plymouth County","MA","Kingston","2008-2012",12409,680,"5.5","2.4"
"1390","Lakeville","Plymouth County","MA","Lakeville","2008-2012",10548,602,"5.7","2.8"
"1391","Marion","Plymouth County","MA","Marion","2008-2012",4789,135,"2.8","1.8"
"1392","Marshfield","Plymouth County","MA","Marshfield","2008-2012",25183,1052,"4.2","1.3"
"1393","Mattapoisett","Plymouth County","MA","Mattapoisett","2008-2012",6065,154,"2.5","1.9"
"1394","Middleborough","Plymouth County","MA","Middleborough","2008-2012",22380,1657,"7.4","1.9"
"1395","Norwell","Plymouth County","MA","Norwell","2008-2012",10308,230,"2.2","1"
"1396","Pembroke","Plymouth County","MA","Pembroke","2008-2012",17759,593,"3.3","1.5"
"1397","Plymouth","Plymouth County","MA","Plymouth","2008-2012",54460,3509,"6.4","1.2"
"1398","Plympton","Plymouth County","MA","Plympton","2008-2012",2817,127,"4.5","2.1"
"1399","Rochester","Plymouth County","MA","Rochester","2008-2012",5197,316,"6.1","2.7"
"1400","Rockland","Plymouth County","MA","Rockland","2008-2012",17349,1023,"5.9","2.5"
"1401","Scituate","Plymouth County","MA","Scituate","2008-2012",17972,521,"2.9","1"
"1402","Wareham","Plymouth County","MA","Wareham","2008-2012",21669,2468,"11.4","2.2"
"1403","West Bridgewater","Plymouth County","MA","West Bridgewater","2008-2012",6700,354,"5.3","2.3"
"1404","Whitman","Plymouth County","MA","Whitman","2008-2012",14463,999,"6.9","2.3"
"1405","Boston","Suffolk County","MA","Boston","2008-2012",580337,123132,"21.2","0.6"
"1406","Chelsea","Suffolk County","MA","Chelsea","2008-2012",35038,8753,"25","3.8"
"1407","Revere","Suffolk County","MA","Revere","2008-2012",51455,8234,"16","2.7"
"1408","Winthrop","Suffolk County","MA","Winthrop","2008-2012",17497,1579,"9","2"
"1409","Ashburnham","Worcester County","MA","Ashburnham","2008-2012",6015,344,"5.7","2.5"
"1410","Athol","Worcester County","MA","Athol","2008-2012",11372,1596,"14","3.9"
"1411","Auburn","Worcester County","MA","Auburn","2008-2012",16019,1000,"6.2","2.2"
"1412","Barre","Worcester County","MA","Barre","2008-2012",5353,237,"4.4","1.9"
"1413","Berlin","Worcester County","MA","Berlin","2008-2012",2856,66,"2.3","1.1"
"1414","Blackstone","Worcester County","MA","Blackstone","2008-2012",8972,353,"3.9","1.8"
"1415","Bolton","Worcester County","MA","Bolton","2008-2012",4893,137,"2.8","1.6"
"1416","Boylston","Worcester County","MA","Boylston","2008-2012",4336,57,"1.3","0.9"
"1417","Brookfield","Worcester County","MA","Brookfield","2008-2012",3361,87,"2.6","1.9"
"1418","Charlton","Worcester County","MA","Charlton","2008-2012",12777,610,"4.8","2.3"
"1419","Clinton","Worcester County","MA","Clinton","2008-2012",13430,1275,"9.5","3"
"1420","Douglas","Worcester County","MA","Douglas","2008-2012",8418,289,"3.4","2.1"
"1421","Dudley","Worcester County","MA","Dudley","2008-2012",10537,740,"7","2.7"
"1422","East Brookfield","Worcester County","MA","East Brookfield","2008-2012",2137,144,"6.7","3.8"
"1423","Fitchburg","Worcester County","MA","Fitchburg","2008-2012",38024,7274,"19.1","3"
"1424","Gardner","Worcester County","MA","Gardner","2008-2012",19113,2490,"13","2.8"
"1425","Grafton","Worcester County","MA","Grafton","2008-2012",17526,1110,"6.3","1.8"
"1426","Hardwick","Worcester County","MA","Hardwick","2008-2012",2899,462,"15.9","6.2"
"1427","Harvard","Worcester County","MA","Harvard","2008-2012",5481,344,"6.3","4.5"
"1428","Holden","Worcester County","MA","Holden","2008-2012",17223,480,"2.8","0.9"
"1429","Hopedale","Worcester County","MA","Hopedale","2008-2012",5851,136,"2.3","1.9"
"1430","Hubbardston","Worcester County","MA","Hubbardston","2008-2012",4366,307,"7","3.4"
"1431","Lancaster","Worcester County","MA","Lancaster","2008-2012",6471,663,"10.2","5.4"
"1432","Leicester","Worcester County","MA","Leicester","2008-2012",10482,473,"4.5","2"
"1433","Leominster","Worcester County","MA","Leominster","2008-2012",40494,3996,"9.9","2"
"1434","Lunenburg","Worcester County","MA","Lunenburg","2008-2012",10294,532,"5.2","2.4"
"1435","Mendon","Worcester County","MA","Mendon","2008-2012",5820,120,"2.1","1.4"
"1436","Milford","Worcester County","MA","Milford","2008-2012",27791,2814,"10.1","3"
"1437","Millbury","Worcester County","MA","Millbury","2008-2012",13080,557,"4.3","2.1"
"1438","Millville","Worcester County","MA","Millville","2008-2012",3150,275,"8.7","3.3"
"1439","New Braintree","Worcester County","MA","New Braintree","2008-2012",1068,56,"5.2","2.9"
"1440","Northborough","Worcester County","MA","Northborough","2008-2012",14291,241,"1.7","0.7"
"1441","Northbridge","Worcester County","MA","Northbridge","2008-2012",15359,638,"4.2","1.2"
"1442","North Brookfield","Worcester County","MA","North Brookfield","2008-2012",4674,315,"6.7","3.5"
