"","Municipal","County","State","Region","Five_Year_Range","Pop_25","Margin_Error_Pop","Grad_Pct","Margin_Error_Grad","HS_Pct","Margin_Error_HS","Bachelors_Pct","Margin_Error_Bach","Five_Year_Range"
"618","Braintree","Norfolk County","MA","Braintree","2007-2011",24757,"404",12,1.3,93.8,1.1,35.6,2.1,2011
"985","Braintree","Norfolk County","MA","Braintree","2008-2012",24980,"404",11.6,1.3,93.3,1,35.2,2.1,2012
"19","Brewster","Barnstable County","MA","Brewster","2006-2010",7709,"253",18.9,2.8,96.8,1.3,47.1,4.7,2010
"386","Brewster","Barnstable County","MA","Brewster","2007-2011",7577,"247",18.8,3.2,96.6,1.3,47.6,4.2,2011
"753","Brewster","Barnstable County","MA","Brewster","2008-2012",7595,"278",16.9,3.1,97.2,1.2,43.2,4,2012
"278","Bridgewater","Plymouth County","MA","Bridgewater","2006-2010",16573,"556",11.7,1.8,90.6,1.7,32.9,3.3,2010
"645","Bridgewater","Plymouth County","MA","Bridgewater","2007-2011",16863,"678",12.3,2,91.6,1.6,32.7,3.2,2011
"1012","Bridgewater","Plymouth County","MA","Bridgewater","2008-2012",17008,"722",12,1.9,92.5,1.3,34.7,2.9,2012
"153","Brimfield","Hampden County","MA","Brimfield","2006-2010",2454,"136",5.5,2.8,86.3,4.8,33.2,8.6,2010
"520","Brimfield","Hampden County","MA","Brimfield","2007-2011",2525,"178",5.6,3.2,90.9,4.4,33.9,9.2,2011
"887","Brimfield","Hampden County","MA","Brimfield","2008-2012",2554,"137",6.1,2.9,91.9,3.6,40.5,7.3,2012
"5",NA,"Bristol County","MA","Bristol County","2006-2010",370326,"79",8.1,0.3,80.1,0.5,24.7,0.5,2010
"372",NA,"Bristol County","MA","Bristol County","2007-2011",372139,"72",8.4,0.3,80.6,0.5,25.1,0.5,2011
"739",NA,"Bristol County","MA","Bristol County","2008-2012",374421,"76",8.6,0.3,81.3,0.5,25.2,0.5,2012
"279","Brockton","Plymouth County","MA","Brockton","2006-2010",60074,"717",5.1,0.7,82.5,1.1,17.5,1,2010
"646","Brockton","Plymouth County","MA","Brockton","2007-2011",60164,"747",5.2,0.6,81.6,1.3,18.2,1.2,2011
"1013","Brockton","Plymouth County","MA","Brockton","2008-2012",59924,"673",4.9,0.6,80.5,1.2,17.9,1.1,2012
"316","Brookfield","Worcester County","MA","Brookfield","2006-2010",2544,"123",5.7,2.8,91.4,3.1,25,5.2,2010
"683","Brookfield","Worcester County","MA","Brookfield","2007-2011",2526,"114",5.7,2.3,93.3,2.7,25.9,5,2011
"1050","Brookfield","Worcester County","MA","Brookfield","2008-2012",2451,"120",6.2,2.4,92.9,2.9,24,4.8,2012
"252","Brookline","Norfolk County","MA","Brookline","2006-2010",40060,"705",48.7,1.7,96.7,0.8,79.6,1.4,2010
"619","Brookline","Norfolk County","MA","Brookline","2007-2011",40374,"748",50.6,2,96.7,0.8,80,1.6,2011
"986","Brookline","Norfolk County","MA","Brookline","2008-2012",40325,"731",51,2.1,96.6,0.7,79.9,1.6,2012
"127","Buckland","Franklin County","MA","Buckland","2006-2010",1484,"169",16.5,5.3,83.5,8.2,36.3,8.2,2010
"494","Buckland","Franklin County","MA","Buckland","2007-2011",1622,"214",15.7,5,86.8,7.1,32.7,8.7,2011
"861","Buckland","Franklin County","MA","Buckland","2008-2012",1540,"182",16.5,4.2,89,6.7,34.8,8.1,2012
"203","Burlington","Middlesex County","MA","Burlington","2006-2010",17023,"396",20.9,2.2,94.7,1.5,47.5,2.8,2010
"570","Burlington","Middlesex County","MA","Burlington","2007-2011",17103,"346",21,2.2,95.3,1.3,47.4,2.7,2011
"937","Burlington","Middlesex County","MA","Burlington","2008-2012",17601,"384",20.3,2.1,94.3,1.4,47.4,2.9,2012
"204","Cambridge","Middlesex County","MA","Cambridge","2006-2010",72957,"1139",42.9,1.4,94.1,0.8,72.1,1.3,2010
"571","Cambridge","Middlesex County","MA","Cambridge","2007-2011",72507,"1215",43.2,1.2,94.3,0.7,73.1,1.3,2011
"938","Cambridge","Middlesex County","MA","Cambridge","2008-2012",72454,"1229",43.9,1.2,94,0.7,73.8,1.3,2012
"253","Canton","Norfolk County","MA","Canton","2006-2010",14878,"354",19.8,2.3,96.1,1.2,48.6,2.8,2010
"620","Canton","Norfolk County","MA","Canton","2007-2011",15155,"303",19.9,2.5,97,1.1,48.8,3.1,2011
"987","Canton","Norfolk County","MA","Canton","2008-2012",15213,"310",19.5,2.5,96.5,1.5,49.5,3.3,2012
