"Municipal","State","C_year","Industry.Title","Average.Monthly.Employment","Average.Weekly.Wage","Number.of.Employer.Establishments.in.the.Industry..reporting.units.","Total.Wages.Paid.to.All.Workers.in.the.Industry"
"Sharon","MA",2001,"Total, All Industries",4049,800,418,168474403
"Sheffield","MA",2001,"Total, All Industries",1296,596,136,40166799
"Shelburne","MA",2001,"Total, All Industries",773,500,114,20107703
"Sherborn","MA",2001,"Total, All Industries",546,742,129,21056609
"Shirley","MA",2001,"Total, All Industries",2171,821,111,92685629
"Shrewsbury","MA",2001,"Total, All Industries",13423,862,769,601426190
"Shutesbury","MA",2001,"Total, All Industries",143,381,26,2836648
"Somerset","MA",2001,"Total, All Industries",4143,574,331,123601080
"Somerville","MA",2001,"Total, All Industries",22948,652,1300,777582304
"South Hadley","MA",2001,"Total, All Industries",4897,636,299,162021104
"Southampton","MA",2001,"Total, All Industries",1061,400,131,22098434
"Southborough","MA",2001,"Total, All Industries",6018,1063,351,332788694
"Southbridge","MA",2001,"Total, All Industries",6177,616,416,197831014
"Southwick","MA",2001,"Total, All Industries",2593,500,251,67401415
"Spencer","MA",2001,"Total, All Industries",3555,654,250,120952561
"Springfield","MA",2001,"Total, All Industries",79927,714,4316,2966429396
"Sterling","MA",2001,"Total, All Industries",2163,665,197,74773853
"Stockbridge","MA",2001,"Total, All Industries",1487,533,114,41178742
"Stoneham","MA",2001,"Total, All Industries",8574,735,617,327883734
"Stoughton","MA",2001,"Total, All Industries",12490,732,920,475219156
"Stow","MA",2001,"Total, All Industries",2146,1196,202,133451576
"Sturbridge","MA",2001,"Total, All Industries",5307,537,303,148076235
"Sudbury","MA",2001,"Total, All Industries",7195,940,594,351842292
"Sunderland","MA",2001,"Total, All Industries",599,663,63,20659275
"Sutton","MA",2001,"Total, All Industries",1529,639,184,50750848
"Swampscott","MA",2001,"Total, All Industries",3351,575,341,100228754
"Swansea","MA",2001,"Total, All Industries",5611,454,459,132544683
"Taunton","MA",2001,"Total, All Industries",24018,681,1266,850348966
"Templeton","MA",2001,"Total, All Industries",1667,643,105,55759526
"Tewksbury","MA",2001,"Total, All Industries",16108,929,776,777849439
"Tisbury","MA",2001,"Total, All Industries",2330,584,376,70765795
"Tolland","MA",2001,"Total, All Industries",48,272,6,682789
"Topsfield","MA",2001,"Total, All Industries",2449,819,266,104237305
"Townsend","MA",2001,"Total, All Industries",2229,622,176,72124379
"Truro","MA",2001,"Total, All Industries",505,504,117,13258796
"Tyngsborough","MA",2001,"Total, All Industries",4081,584,310,123893275
"Tyringham","MA",2001,"Total, All Industries",30,472,10,724245
"Upton","MA",2001,"Total, All Industries",1031,725,158,38848626
"Uxbridge","MA",2001,"Total, All Industries",2861,578,284,86048574
"Wakefield","MA",2001,"Total, All Industries",14920,1040,977,806563722
"Wales","MA",2001,"Total, All Industries",124,382,28,2462010
"Walpole","MA",2001,"Total, All Industries",9677,733,710,368912476
"Waltham","MA",2001,"Total, All Industries",60780,1191,2392,3764277645
"Ware","MA",2001,"Total, All Industries",2691,553,212,77318362
"Wareham","MA",2001,"Total, All Industries",6794,563,536,198911995
"Warren","MA",2001,"Total, All Industries",1209,645,69,40544082
"Warwick","MA",2001,"Total, All Industries",112,466,7,2705557
"Washington","MA",2001,"Total, All Industries",145,547,16,4113950
"Watertown","MA",2001,"Total, All Industries",20381,852,1055,903363360
"Wayland","MA",2001,"Total, All Industries",4030,939,393,196779193
"Webster","MA",2001,"Total, All Industries",6629,611,381,210548616
"Wellesley","MA",2001,"Total, All Industries",19678,1084,1430,1108878053
"Wellfleet","MA",2001,"Total, All Industries",952,512,158,25371770
"Wendell","MA",2001,"Total, All Industries",228,414,15,4919521
"Wenham","MA",2001,"Total, All Industries",1294,812,90,54636011
"West Boylston","MA",2001,"Total, All Industries",3531,599,227,109924825
"West Bridgewater","MA",2001,"Total, All Industries",6775,689,318,242906741
"West Brookfield","MA",2001,"Total, All Industries",933,540,83,26175452
"West Newbury","MA",2001,"Total, All Industries",701,682,84,24830895
"West Springfield","MA",2001,"Total, All Industries",18085,597,1090,561380638
"West Stockbridge","MA",2001,"Total, All Industries",262,465,59,6332274
"West Tisbury","MA",2001,"Total, All Industries",627,644,116,20976905
