"","Municipal","County","State","Region","Year","Unemployment_Rate_Avg","No_Unemployed_Avg","No_Employed_Avg","No_Labor_Avg","Labor_Pct_Change"
"236","Newburyport city, MA",NA,"MA","Newburyport city, MA",2013,5.175,518.125,9475.25,9993.375,NA
"237","Newton city, MA",NA,"MA","Newton city, MA",2013,4.475,2153,45861.125,48014.125,NA
"238","Norfolk County, MA",NA,"MA","Norfolk County, MA",2013,5.7875,21400.125,348121.5,369521.625,NA
"239","Norfolk town, MA",NA,"MA","Norfolk",2013,6.3125,319.875,4752.75,5072.625,NA
"240","North Adams city, MA",NA,"MA","North Adams city, MA",2013,8.8625,610,6282.75,6892.75,NA
"241","North Adams, MA-VT Micropolitan NECTA",NA,"MA","North Adams, MA-VT Micropolitan NECTA",2013,8.075,1349.75,15389.875,16739.625,NA
"242","North Adams, MA-VT Micropolitan NECTA, MA part",NA,"MA","North Adams, MA-VT Micropolitan NECTA, MA part",2013,8.1375,1325.5,14973.875,16299.375,NA
"243","North Andover town, MA",NA,"MA","North Andover",2013,5.85,841.125,13496.875,14338,NA
"244","North Attleborough town, MA",NA,"MA","North Attleborough",2013,7.8875,1324.375,15458.25,16782.625,NA
"245","North Brookfield town, MA",NA,"MA","North Brookfield",2013,7.95,191.25,2215.875,2407.125,NA
"246","North Reading town, MA",NA,"MA","North Reading",2013,5.7875,496.875,8071.25,8568.125,NA
"247","Northampton city, MA",NA,"MA","Northampton city, MA",2013,5.2125,829.75,15076.5,15906.25,NA
"248","Northborough town, MA",NA,"MA","Northborough",2013,5.8375,447.5,7233.25,7680.75,NA
"249","Northbridge town, MA",NA,"MA","Northbridge",2013,7.9125,631.875,7356.625,7988.5,NA
"250","Northfield town, MA",NA,"MA","Northfield",2013,4.975,86,1638,1724,NA
"251","Norton town, MA",NA,"MA","Norton",2013,7.0125,719.75,9534.625,10254.375,NA
"252","Norwell town, MA",NA,"MA","Norwell",2013,5.0375,277.875,5232.625,5510.5,NA
"253","Norwood town, MA",NA,"MA","Norwood",2013,5.7875,930.375,15111.5,16041.875,NA
"254","Oak Bluffs town, MA",NA,"MA","Oak Bluffs",2013,7.5625,218.5,2927.625,3146.125,NA
"255","Oakham town, MA",NA,"MA","Oakham",2013,8.025,84.75,969.25,1054,NA
"256","Orange town, MA",NA,"MA","Orange",2013,9.0125,336.625,3393.25,3729.875,NA
"257","Orleans town, MA",NA,"MA","Orleans",2013,6.1875,179.375,2764.625,2944,NA
"258","Otis town, MA",NA,"MA","Otis",2013,5.9625,58.125,919.75,977.875,NA
"259","Oxford town, MA",NA,"MA","Oxford",2013,7.0625,533.375,7007.25,7540.625,NA
"260","Palmer Town city, MA",NA,"MA","Palmer",2013,8.55,544.5,5820.625,6365.125,NA
"261","Paxton town, MA",NA,"MA","Paxton",2013,6.0125,148.625,2319.25,2467.875,NA
"262","Peabody city, MA",NA,"MA","Peabody city, MA",2013,6.55,1841.125,26197.375,28038.5,NA
"263","Peabody, MA NECTA Division",NA,"MA","Peabody, MA NECTA Division",2013,6.725,8821.375,122218.25,131039.625,NA
"264","Pelham town, MA",NA,"MA","Pelham",2013,5.175,37.25,689.25,726.5,NA
