"Municipal","State","Year","Average_Monthly_Employment","Average_Weekly_Wage","Number_of_Employer_Establishments","Total_Wages_Paid_to_All_Workers","Inflation_Adjusted_Average_Weekly_Wage","Change","Employment_Change_Pct","Establishment_Change","Establishment_Change_Pct","Average_Weekly_Wage_Change","Average_Weekly_Wage_Change_Pct"
"Springfield","MA",2004,77201,795,5553,3193018378,966,0.965893878163824,96.5893878163824,1.28660797034291,128.660797034291,1.04319654427646,104.319654427646
"Springfield","MA",2005,75974,820,5476,3238722945,964,0.950542369912545,95.0542369912545,1.26876737720111,126.876737720111,1.04103671706263,104.103671706263
"Springfield","MA",2006,75822,849,5361,3348197101,967,0.948640634579053,94.8640634579053,1.24212233549583,124.212233549583,1.04427645788337,104.427645788337
"Springfield","MA",2007,75896,887,5462,3501566768,982,0.949566479412464,94.9566479412464,1.26552363299351,126.552363299351,1.06047516198704,106.047516198704
"Springfield","MA",2008,75819,929,5681,3662467894,991,0.94860310032905,94.860310032905,1.31626506024096,131.626506024096,1.07019438444924,107.019438444924
"Springfield","MA",2009,74280,930,5763,3593325102,995,0.929348030077446,92.9348030077446,1.3352641334569,133.52641334569,1.07451403887689,107.451403887689
"Springfield","MA",2010,74409,928,5979,3590246099,977,0.93096200282758,93.096200282758,1.38531047265987,138.531047265987,1.05507559395248,105.507559395248
"Springfield","MA",2011,74205,949,6044,3661368921,969,0.928409673827367,92.8409673827367,1.40037071362373,140.037071362373,1.04643628509719,104.643628509719
"Springfield","MA",2012,75045,964,6076,3762410520,964,0.938919263828243,93.8919263828243,1.40778498609824,140.778498609824,1.04103671706263,104.103671706263
"Sterling","MA",2001,2163,665,197,74773853,862,1,100,1,100,1,100
"Sterling","MA",2002,2194,661,202,75422037,844,1.01433194637078,101.433194637078,1.0253807106599,102.53807106599,0.979118329466357,97.9118329466357
"Sterling","MA",2003,2210,685,234,78685695,855,1.02172907998151,102.172907998151,1.18781725888325,118.781725888325,0.991879350348028,99.1879350348028
"Sterling","MA",2004,2302,701,240,83900046,852,1.06426259824318,106.426259824318,1.21827411167513,121.827411167513,0.988399071925754,98.8399071925754
"Sterling","MA",2005,2503,712,240,92728707,837,1.15718908922792,115.718908922792,1.21827411167513,121.827411167513,0.970997679814385,97.0997679814385
"Sterling","MA",2006,2533,726,232,95637929,827,1.17105871474804,117.105871474804,1.17766497461929,117.766497461929,0.959396751740139,95.9396751740139
"Sterling","MA",2007,2470,742,239,95359439,822,1.1419325011558,114.19325011558,1.21319796954315,121.319796954315,0.953596287703016,95.3596287703016
"Sterling","MA",2008,2448,761,233,96887822,812,1.13176144244105,113.176144244105,1.18274111675127,118.274111675127,0.94199535962877,94.199535962877
"Sterling","MA",2009,2417,760,234,95465488,813,1.11742949607027,111.742949607027,1.18781725888325,118.781725888325,0.943155452436195,94.3155452436195
"Sterling","MA",2010,2338,800,241,97244613,842,1.08090614886731,108.090614886731,1.22335025380711,122.335025380711,0.976798143851508,97.6798143851508
"Sterling","MA",2011,2451,793,250,101110764,809,1.13314840499307,113.314840499307,1.26903553299492,126.903553299492,0.938515081206497,93.8515081206497
"Sterling","MA",2012,2422,811,237,102136624,811,1.11974110032362,111.974110032362,1.20304568527919,120.304568527919,0.940835266821346,94.0835266821346
"Stockbridge","MA",2001,1487,533,114,41178742,691,1,100,1,100,1,100
"Stockbridge","MA",2002,1543,540,110,43330510,689,1.03765971755212,103.765971755212,0.964912280701754,96.4912280701754,0.997105643994211,99.7105643994211
"Stockbridge","MA",2003,1483,559,111,43091224,698,0.997310020174849,99.7310020174849,0.973684210526316,97.3684210526316,1.01013024602026,101.013024602026
"Stockbridge","MA",2004,1436,570,110,42576041,693,0.965702757229321,96.5702757229321,0.964912280701754,96.4912280701754,1.00289435600579,100.289435600579
"Stockbridge","MA",2005,1387,567,98,40917507,667,0.932750504371217,93.2750504371217,0.859649122807018,85.9649122807018,0.965267727930536,96.5267727930536
"Stockbridge","MA",2006,1362,582,93,41228239,663,0.915938130464022,91.5938130464021,0.815789473684211,81.5789473684211,0.959479015918958,95.9479015918958
"Stockbridge","MA",2007,1339,616,91,42865884,682,0.900470746469402,90.0470746469401,0.798245614035088,79.8245614035088,0.986975397973951,98.6975397973951
"Stockbridge","MA",2008,1345,646,90,45216197,689,0.904505716207128,90.4505716207129,0.789473684210526,78.9473684210526,0.997105643994211,99.7105643994211
"Stockbridge","MA",2009,1566,648,89,52763939,693,1.05312710154674,105.312710154674,0.780701754385965,78.0701754385965,1.00289435600579,100.289435600579
"Stockbridge","MA",2010,1553,686,95,55410861,722,1.044384667115,104.4384667115,0.833333333333333,83.3333333333333,1.04486251808973,104.486251808973
"Stockbridge","MA",2011,1594,690,95,57163540,704,1.0719569603228,107.19569603228,0.833333333333333,83.3333333333333,1.01881331403763,101.881331403763
"Stockbridge","MA",2012,1609,700,94,58558507,700,1.08204438466712,108.204438466712,0.824561403508772,82.4561403508772,1.01302460202605,101.302460202605
"Stoneham","MA",2001,8574,735,617,327883734,953,1,100,1,100,1,100
"Stoneham","MA",2002,8529,715,643,317049896,913,0.994751574527642,99.4751574527642,1.04213938411669,104.213938411669,0.958027282266527,95.8027282266527
"Stoneham","MA",2003,8313,732,652,316528896,913,0.969559132260322,96.9559132260322,1.05672609400324,105.672609400324,0.958027282266527,95.8027282266527
"Stoneham","MA",2004,7919,783,666,322417292,952,0.923606251457896,92.3606251457896,1.07941653160454,107.941653160454,0.998950682056663,99.8950682056663
"Stoneham","MA",2005,7935,809,636,333955553,951,0.925472358292512,92.5472358292512,1.03079416531605,103.079416531605,0.997901364113326,99.7901364113326
