"","Municipal","State","Year","Region","Industry_Title","Average_Monthly_Employment"
"215","Norton","MA",2001,"Norton","Total, All Industries",6058
"216","Norwell","MA",2001,"Norwell","Total, All Industries",8615
"217","Norwood","MA",2001,"Norwood","Total, All Industries",25059
"218","Oak Bluffs","MA",2001,"Oak Bluffs","Total, All Industries",1873
"219","Oakham","MA",2001,"Oakham","Total, All Industries",150
"220","Orange","MA",2001,"Orange","Total, All Industries",2071
"221","Orleans","MA",2001,"Orleans","Total, All Industries",4362
"222","Otis","MA",2001,"Otis","Total, All Industries",294
"223","Oxford","MA",2001,"Oxford","Total, All Industries",3287
"224","Palmer","MA",2001,"Palmer","Total, All Industries",5429
"225","Paxton","MA",2001,"Paxton","Total, All Industries",707
"226","Peabody","MA",2001,"Peabody","Total, All Industries",26877
"227","Pelham","MA",2001,"Pelham","Total, All Industries",151
"228","Pembroke","MA",2001,"Pembroke","Total, All Industries",5223
"229","Pepperell","MA",2001,"Pepperell","Total, All Industries",1582
"230","Petersham","MA",2001,"Petersham","Total, All Industries",140
"231","Phillipston","MA",2001,"Phillipston","Total, All Industries",178
"232","Pittsfield","MA",2001,"Pittsfield","Total, All Industries",26652
"233","Plainfield","MA",2001,"Plainfield","Total, All Industries",125
"234","Plainville","MA",2001,"Plainville","Total, All Industries",2961
"235","Plymouth","MA",2001,"Plymouth","Total, All Industries",19170
"236","Plympton","MA",2001,"Plympton","Total, All Industries",271
"237","Princeton","MA",2001,"Princeton","Total, All Industries",741
"238","Provincetown","MA",2001,"Provincetown","Total, All Industries",2392
"239","Quincy","MA",2001,"Quincy","Total, All Industries",47299
"240","Randolph","MA",2001,"Randolph","Total, All Industries",10530
"241","Raynham","MA",2001,"Raynham","Total, All Industries",7153
"242","Reading","MA",2001,"Reading","Total, All Industries",7312
"243","Rehoboth","MA",2001,"Rehoboth","Total, All Industries",1557
"244","Revere","MA",2001,"Revere","Total, All Industries",8604
"245","Richmond","MA",2001,"Richmond","Total, All Industries",207
"246","Rochester","MA",2001,"Rochester","Total, All Industries",1014
"247","Rockland","MA",2001,"Rockland","Total, All Industries",8313
"248","Rockport","MA",2001,"Rockport","Total, All Industries",1492
"249","Rowe","MA",2001,"Rowe","Total, All Industries",119
"250","Rowley","MA",2001,"Rowley","Total, All Industries",2362
"251","Royalston","MA",2001,"Royalston","Total, All Industries",152
"252","Russell","MA",2001,"Russell","Total, All Industries",233
"253","Rutland","MA",2001,"Rutland","Total, All Industries",974
