"","Municipal","Year","Average_Monthly_Employment"
"1001","East Bridgewater",2007,2720
"1002","East Bridgewater",2008,2620
"1003","East Bridgewater",2009,2536
"1004","East Bridgewater",2010,2604
"1005","East Bridgewater",2011,2655
"1006","East Bridgewater",2012,2679
"1007","East Brookfield",2001,391
"1008","East Brookfield",2002,398
"1009","East Brookfield",2003,419
"1010","East Brookfield",2004,421
"1011","East Brookfield",2005,426
"1012","East Brookfield",2006,449
"1013","East Brookfield",2007,434
"1014","East Brookfield",2008,434
"1015","East Brookfield",2009,421
"1016","East Brookfield",2010,396
"1017","East Brookfield",2011,444
"1018","East Brookfield",2012,477
"1019","East Longmeadow",2001,9208
"1020","East Longmeadow",2002,9220
"1021","East Longmeadow",2003,9106
"1022","East Longmeadow",2004,9016
"1023","East Longmeadow",2005,8714
"1024","East Longmeadow",2006,8512
"1025","East Longmeadow",2007,8339
"1026","East Longmeadow",2008,8409
"1027","East Longmeadow",2009,7855
"1028","East Longmeadow",2010,7949
"1029","East Longmeadow",2011,7792
"1030","East Longmeadow",2012,7685
"1031","Eastham",2001,1049
"1032","Eastham",2002,1122
"1033","Eastham",2003,1196
"1034","Eastham",2004,1192
"1035","Eastham",2005,1199
"1036","Eastham",2006,1233
"1037","Eastham",2007,1258
"1038","Eastham",2008,1214
"1039","Eastham",2009,1157
"1040","Eastham",2010,1114
"1041","Eastham",2011,1092
"1042","Eastham",2012,1164
"1043","Easthampton",2001,4645
"1044","Easthampton",2002,4557
"1045","Easthampton",2003,4688
"1046","Easthampton",2004,4754
"1047","Easthampton",2005,4679
"1048","Easthampton",2006,4705
"1049","Easthampton",2007,4691
"1050","Easthampton",2008,4634
"1051","Easthampton",2009,4294
"1052","Easthampton",2010,4640
"1053","Easthampton",2011,4536
"1054","Easthampton",2012,4801
"1055","Easton",2001,9256
"1056","Easton",2002,9275
"1057","Easton",2003,9027
"1058","Easton",2004,8983
"1059","Easton",2005,9139
"1060","Easton",2006,9428
"1061","Easton",2007,9669
"1062","Easton",2008,9574
"1063","Easton",2009,9324
"1064","Easton",2010,9815
"1065","Easton",2011,9918
"1066","Easton",2012,9612
"1067","Edgartown",2001,1955
"1068","Edgartown",2002,2092
"1069","Edgartown",2003,2267
"1070","Edgartown",2004,2349
"1071","Edgartown",2005,2347
"1072","Edgartown",2006,2341
"1073","Edgartown",2007,2359
"1074","Edgartown",2008,2407
"1075","Edgartown",2009,2343
"1076","Edgartown",2010,2379
"1077","Edgartown",2011,2442
"1078","Edgartown",2012,2480
"1079","Egremont",2001,276
"1080","Egremont",2002,198
"1081","Egremont",2003,232
"1082","Egremont",2004,241
"1083","Egremont",2005,311
"1084","Egremont",2006,314
"1085","Egremont",2007,302
"1086","Egremont",2008,309
"1087","Egremont",2009,292
"1088","Egremont",2010,194
"1089","Egremont",2011,192
"1090","Egremont",2012,175
"1091","Erving",2001,359
"1092","Erving",2002,330
"1093","Erving",2003,323
"1094","Erving",2004,307
"1095","Erving",2005,289
"1096","Erving",2006,306
"1097","Erving",2007,320
"1098","Erving",2008,283
"1099","Erving",2009,275
"1100","Erving",2010,261
"1101","Erving",2011,253
"1102","Erving",2012,260
"1103","Essex",2001,1383
"1104","Essex",2002,1360
"1105","Essex",2003,1384
"1106","Essex",2004,1373
"1107","Essex",2005,1238
"1108","Essex",2006,1288
"1109","Essex",2007,1282
"1110","Essex",2008,1325
"1111","Essex",2009,1274
"1112","Essex",2010,1318
"1113","Essex",2011,1266
"1114","Essex",2012,1334
"1115","Everett",2001,12835
"1116","Everett",2002,14484
"1117","Everett",2003,12886
"1118","Everett",2004,12556
"1119","Everett",2005,12388
"1120","Everett",2006,12795
"1121","Everett",2007,12761
"1122","Everett",2008,12526
"1123","Everett",2009,12029
"1124","Everett",2010,11952
"1125","Everett",2011,11983
"1126","Everett",2012,12216
"1127","Fairhaven",2001,7051
"1128","Fairhaven",2002,7264
"1129","Fairhaven",2003,7228
"1130","Fairhaven",2004,6663
"1131","Fairhaven",2005,6487
"1132","Fairhaven",2006,6404
"1133","Fairhaven",2007,6249
"1134","Fairhaven",2008,6168
"1135","Fairhaven",2009,5989
"1136","Fairhaven",2010,6116
"1137","Fairhaven",2011,6688
"1138","Fairhaven",2012,7200
"1139","Fall River",2001,40069
"1140","Fall River",2002,39132
"1141","Fall River",2003,38610
"1142","Fall River",2004,38532
"1143","Fall River",2005,37684
"1144","Fall River",2006,36989
"1145","Fall River",2007,36206
"1146","Fall River",2008,35491
"1147","Fall River",2009,33817
"1148","Fall River",2010,34132
"1149","Fall River",2011,33887
"1150","Fall River",2012,33686
"1151","Falmouth",2001,14240
"1152","Falmouth",2002,14575
"1153","Falmouth",2003,14874
"1154","Falmouth",2004,14734
"1155","Falmouth",2005,14559
"1156","Falmouth",2006,14238
"1157","Falmouth",2007,14525
"1158","Falmouth",2008,14502
"1159","Falmouth",2009,14168
"1160","Falmouth",2010,14155
"1161","Falmouth",2011,14280
"1162","Falmouth",2012,14295
"1163","Fitchburg",2001,14416
"1164","Fitchburg",2002,14129
"1165","Fitchburg",2003,13806
"1166","Fitchburg",2004,13513
"1167","Fitchburg",2005,13303
"1168","Fitchburg",2006,13227
"1169","Fitchburg",2007,13013
"1170","Fitchburg",2008,12704
"1171","Fitchburg",2009,12503
"1172","Fitchburg",2010,12668
"1173","Fitchburg",2011,12430
"1174","Fitchburg",2012,12371
"1175","Florida",2001,81
"1176","Florida",2002,73
"1177","Florida",2003,74
"1178","Florida",2005,62
"1179","Florida",2006,62
"1180","Florida",2007,71
"1181","Florida",2008,70
"1182","Florida",2009,74
"1183","Florida",2010,77
"1184","Florida",2011,79
"1185","Florida",2012,102
"1186","Foxborough",2001,9434
"1187","Foxborough",2002,9804
"1188","Foxborough",2003,9580
"1189","Foxborough",2004,10169
"1190","Foxborough",2005,9937
"1191","Foxborough",2006,10131
"1192","Foxborough",2007,10333
"1193","Foxborough",2008,11316
"1194","Foxborough",2009,11291
"1195","Foxborough",2010,11948
"1196","Foxborough",2011,12310
"1197","Foxborough",2012,12659
"1198","Framingham",2001,45749
"1199","Framingham",2002,45603
"1200","Framingham",2003,45085
"1201","Framingham",2004,45079
"1202","Framingham",2005,45540
"1203","Framingham",2006,44759
"1204","Framingham",2007,45646
"1205","Framingham",2008,45629
"1206","Framingham",2009,44698
"1207","Framingham",2010,44636
"1208","Framingham",2011,45330
"1209","Framingham",2012,45519
"1210","Franklin",2001,16096
"1211","Franklin",2002,15952
"1212","Franklin",2003,16206
"1213","Franklin",2004,16357
"1214","Franklin",2005,16026
"1215","Franklin",2006,16026
"1216","Franklin",2007,16227
"1217","Franklin",2008,15760
"1218","Franklin",2009,14559
"1219","Franklin",2010,14660
"1220","Franklin",2011,14777
"1221","Franklin",2012,14889
"1222","Freetown",2001,2137
"1223","Freetown",2002,2158
"1224","Freetown",2003,2164
"1225","Freetown",2004,2388
"1226","Freetown",2005,2732
"1227","Freetown",2006,3757
"1228","Freetown",2007,3861
"1229","Freetown",2008,3939
"1230","Freetown",2009,3851
"1231","Freetown",2010,3806
"1232","Freetown",2011,3752
"1233","Freetown",2012,3686
"1234","Gardner",2001,8463
"1235","Gardner",2002,8535
"1236","Gardner",2003,8644
"1237","Gardner",2004,8647
"1238","Gardner",2005,8585
"1239","Gardner",2006,8623
"1240","Gardner",2007,8671
"1241","Gardner",2008,8515
"1242","Gardner",2009,8311
"1243","Gardner",2010,8032
"1244","Gardner",2011,8053
"1245","Gardner",2012,8103
"1246","Georgetown",2001,2435
"1247","Georgetown",2002,2514
"1248","Georgetown",2003,2433
"1249","Georgetown",2004,2496
"1250","Georgetown",2005,2504
"1251","Georgetown",2006,2468
"1252","Georgetown",2007,2351
"1253","Georgetown",2008,2314
"1254","Georgetown",2009,2200
"1255","Georgetown",2010,1966
"1256","Georgetown",2011,2095
"1257","Georgetown",2012,2309
"1258","Gill",2001,198
"1259","Gill",2002,204
"1260","Gill",2003,194
"1261","Gill",2004,284
"1262","Gill",2005,296
"1263","Gill",2006,283
"1264","Gill",2007,293
"1265","Gill",2008,285
"1266","Gill",2009,291
"1267","Gill",2010,302
"1268","Gill",2011,277
"1269","Gill",2012,311
"1270","Gloucester",2001,11701
"1271","Gloucester",2002,11160
"1272","Gloucester",2003,10741
"1273","Gloucester",2004,10865
"1274","Gloucester",2005,10702
"1275","Gloucester",2006,10681
"1276","Gloucester",2007,10838
"1277","Gloucester",2008,10632
"1278","Gloucester",2009,10276
"1279","Gloucester",2010,10383
"1280","Gloucester",2011,10801
"1281","Gloucester",2012,10948
"1282","Goshen",2001,90
"1283","Goshen",2002,109
"1284","Goshen",2003,100
"1285","Goshen",2004,98
"1286","Goshen",2005,130
"1287","Goshen",2006,136
"1288","Goshen",2007,149
"1289","Goshen",2008,152
"1290","Goshen",2009,156
"1291","Goshen",2010,164
"1292","Goshen",2011,172
"1293","Goshen",2012,164
"1294","Gosnold",2001,50
"1295","Gosnold",2002,50
"1296","Gosnold",2003,47
"1297","Gosnold",2004,50
"1298","Gosnold",2005,49
"1299","Gosnold",2006,45
"1300","Gosnold",2007,46
"1301","Gosnold",2008,44
"1302","Gosnold",2009,43
"1303","Gosnold",2010,41
"1304","Gosnold",2011,41
"1305","Gosnold",2012,38
"1306","Grafton",2001,4684
"1307","Grafton",2002,4855
"1308","Grafton",2003,4698
"1309","Grafton",2004,4625
"1310","Grafton",2005,4306
"1311","Grafton",2006,4412
"1312","Grafton",2007,4325
"1313","Grafton",2008,4318
"1314","Grafton",2009,4081
"1315","Grafton",2010,4050
"1316","Grafton",2011,4012
"1317","Grafton",2012,4107
"1318","Granby",2001,849
"1319","Granby",2002,853
"1320","Granby",2003,839
"1321","Granby",2004,853
"1322","Granby",2005,852
"1323","Granby",2006,821
"1324","Granby",2007,794
"1325","Granby",2008,770
"1326","Granby",2009,745
"1327","Granby",2010,755
"1328","Granby",2011,799
"1329","Granby",2012,899
"1330","Granville",2001,164
"1331","Granville",2002,159
"1332","Granville",2003,167
"1333","Granville",2004,163
"1334","Granville",2005,171
"1335","Granville",2006,164
"1336","Granville",2007,162
"1337","Granville",2008,173
"1338","Granville",2009,156
"1339","Granville",2010,156
"1340","Granville",2011,165
"1341","Granville",2012,161
"1342","Great Barrington",2001,5076
"1343","Great Barrington",2002,5313
"1344","Great Barrington",2003,5390
"1345","Great Barrington",2004,5330
"1346","Great Barrington",2005,5445
"1347","Great Barrington",2006,5468
"1348","Great Barrington",2007,5223
"1349","Great Barrington",2008,5485
"1350","Great Barrington",2009,4922
"1351","Great Barrington",2010,4842
"1352","Great Barrington",2011,4887
"1353","Great Barrington",2012,4930
"1354","Greenfield",2001,10510
"1355","Greenfield",2002,10492
"1356","Greenfield",2003,10386
"1357","Greenfield",2004,10262
"1358","Greenfield",2005,10234
"1359","Greenfield",2006,10177
"1360","Greenfield",2007,10125
"1361","Greenfield",2008,10087
"1362","Greenfield",2009,9682
"1363","Greenfield",2010,9898
"1364","Greenfield",2011,9961
"1365","Greenfield",2012,9856
"1366","Groton",2001,2958
"1367","Groton",2002,3005
"1368","Groton",2003,3018
"1369","Groton",2004,3097
"1370","Groton",2005,3160
"1371","Groton",2006,3420
"1372","Groton",2007,3417
"1373","Groton",2008,3253
"1374","Groton",2009,3266
"1375","Groton",2010,3183
"1376","Groton",2011,3083
"1377","Groton",2012,3212
"1378","Groveland",2001,1122
"1379","Groveland",2002,1144
"1380","Groveland",2003,1199
"1381","Groveland",2004,1200
"1382","Groveland",2005,1181
"1383","Groveland",2006,1198
"1384","Groveland",2007,1175
"1385","Groveland",2008,1176
"1386","Groveland",2009,1108
"1387","Groveland",2010,1124
"1388","Groveland",2011,1115
"1389","Groveland",2012,1269
"1390","Hadley",2001,4333
"1391","Hadley",2002,4389
"1392","Hadley",2003,4919
"1393","Hadley",2004,4736
"1394","Hadley",2005,5099
"1395","Hadley",2006,4917
"1396","Hadley",2007,4956
"1397","Hadley",2008,5065
"1398","Hadley",2009,5231
"1399","Hadley",2010,5482
"1400","Hadley",2011,5640
"1401","Hadley",2012,5775
"1402","Halifax",2001,1113
"1403","Halifax",2002,1063
"1404","Halifax",2003,1069
"1405","Halifax",2004,1094
"1406","Halifax",2005,1167
"1407","Halifax",2006,1178
"1408","Halifax",2007,1326
"1409","Halifax",2008,1292
"1410","Halifax",2009,1171
"1411","Halifax",2010,1260
"1412","Halifax",2011,1256
"1413","Halifax",2012,1289
"1414","Hamilton",2001,1444
"1415","Hamilton",2002,1470
"1416","Hamilton",2003,1428
"1417","Hamilton",2004,1474
"1418","Hamilton",2005,1514
"1419","Hamilton",2006,1460
"1420","Hamilton",2007,1468
"1421","Hamilton",2008,1442
"1422","Hamilton",2009,1432
"1423","Hamilton",2010,1346
"1424","Hamilton",2011,1368
"1425","Hamilton",2012,1427
"1426","Hampden",2001,727
"1427","Hampden",2002,728
"1428","Hampden",2003,768
"1429","Hampden",2004,798
"1430","Hampden",2005,882
"1431","Hampden",2006,884
"1432","Hampden",2007,884
"1433","Hampden",2008,813
"1434","Hampden",2009,814
"1435","Hampden",2010,844
"1436","Hampden",2011,849
"1437","Hampden",2012,844
"1438","Hancock",2003,455
"1439","Hancock",2004,513
"1440","Hancock",2005,574
"1441","Hancock",2006,563
"1442","Hancock",2007,537
"1443","Hancock",2008,525
"1444","Hancock",2009,461
"1445","Hancock",2010,477
"1446","Hancock",2011,463
"1447","Hancock",2012,456
"1448","Hanover",2001,7352
"1449","Hanover",2002,8035
"1450","Hanover",2003,7797
"1451","Hanover",2004,7673
"1452","Hanover",2005,7385
"1453","Hanover",2006,7212
"1454","Hanover",2007,7063
"1455","Hanover",2008,6864
"1456","Hanover",2009,6371
"1457","Hanover",2010,6580
"1458","Hanover",2011,6577
"1459","Hanover",2012,6749
"1460","Hanson",2001,1821
"1461","Hanson",2002,1817
"1462","Hanson",2003,1758
"1463","Hanson",2004,2080
"1464","Hanson",2005,2345
"1465","Hanson",2006,2121
"1466","Hanson",2007,1624
"1467","Hanson",2008,1686
"1468","Hanson",2009,1504
"1469","Hanson",2010,1522
"1470","Hanson",2011,1476
"1471","Hanson",2012,1542
"1472","Hardwick",2001,317
"1473","Hardwick",2002,340
"1474","Hardwick",2003,346
"1475","Hardwick",2004,378
"1476","Hardwick",2005,390
"1477","Hardwick",2006,401
"1478","Hardwick",2007,401
"1479","Hardwick",2008,407
"1480","Hardwick",2009,390
"1481","Hardwick",2010,392
"1482","Hardwick",2011,386
"1483","Hardwick",2012,405
"1484","Harvard",2001,963
"1485","Harvard",2002,1023
"1486","Harvard",2003,1004
"1487","Harvard",2004,1004
"1488","Harvard",2005,1094
"1489","Harvard",2006,1045
"1490","Harvard",2007,1064
"1491","Harvard",2008,1048
"1492","Harvard",2009,909
"1493","Harvard",2010,892
"1494","Harvard",2011,912
"1495","Harvard",2012,906
"1496","Harwich",2001,3373
"1497","Harwich",2002,3311
"1498","Harwich",2003,3549
"1499","Harwich",2004,3737
"1500","Harwich",2005,3714
"1501","Harwich",2006,3805
"1502","Harwich",2007,3846
"1503","Harwich",2008,3840
"1504","Harwich",2009,3660
"1505","Harwich",2010,3725
"1506","Harwich",2011,3754
"1507","Harwich",2012,3871
"1508","Hatfield",2001,2653
"1509","Hatfield",2002,2585
"1510","Hatfield",2003,2314
"1511","Hatfield",2004,2470
"1512","Hatfield",2005,2398
"1513","Hatfield",2006,2460
"1514","Hatfield",2007,2409
"1515","Hatfield",2008,2185
"1516","Hatfield",2009,1945
"1517","Hatfield",2010,2126
"1518","Hatfield",2011,2334
"1519","Hatfield",2012,2183
"1520","Haverhill",2001,18960
"1521","Haverhill",2002,18694
"1522","Haverhill",2003,17923
"1523","Haverhill",2004,17838
"1524","Haverhill",2005,17988
"1525","Haverhill",2006,18050
"1526","Haverhill",2007,18207
"1527","Haverhill",2008,18312
"1528","Haverhill",2009,17912
"1529","Haverhill",2010,18379
"1530","Haverhill",2011,18871
"1531","Haverhill",2012,19347
"1532","Hawley",2001,12
"1533","Hawley",2002,10
"1534","Hawley",2003,12
"1535","Hawley",2004,12
"1536","Hawley",2005,15
"1537","Hawley",2006,17
"1538","Hawley",2007,20
"1539","Hawley",2008,22
"1540","Hawley",2009,19
"1541","Hawley",2010,22
"1542","Hawley",2011,26
"1543","Hawley",2012,22
"1544","Heath",2001,81
"1545","Heath",2002,83
"1546","Heath",2003,100
"1547","Heath",2004,107
"1548","Heath",2005,98
"1549","Heath",2006,84
"1550","Heath",2007,83
"1551","Heath",2008,76
"1552","Heath",2009,64
"1553","Heath",2010,64
"1554","Heath",2011,55
"1555","Heath",2012,58
"1556","Hingham",2001,11339
"1557","Hingham",2002,10988
"1558","Hingham",2003,10896
"1559","Hingham",2004,11100
"1560","Hingham",2005,12008
"1561","Hingham",2006,11833
"1562","Hingham",2007,11955
"1563","Hingham",2008,12044
"1564","Hingham",2009,12735
"1565","Hingham",2010,12825
"1566","Hingham",2011,13155
"1567","Hingham",2012,13449
"1568","Hinsdale",2001,208
"1569","Hinsdale",2002,206
"1570","Hinsdale",2003,236
"1571","Hinsdale",2004,278
"1572","Hinsdale",2005,259
"1573","Hinsdale",2006,277
"1574","Hinsdale",2007,292
"1575","Hinsdale",2008,293
"1576","Hinsdale",2009,306
"1577","Hinsdale",2010,315
"1578","Hinsdale",2011,301
"1579","Hinsdale",2012,321
"1580","Holbrook",2001,2876
"1581","Holbrook",2002,2904
"1582","Holbrook",2003,2941
"1583","Holbrook",2004,2931
"1584","Holbrook",2005,2888
"1585","Holbrook",2006,2888
"1586","Holbrook",2007,2741
"1587","Holbrook",2008,2662
"1588","Holbrook",2009,2425
"1589","Holbrook",2010,2424
"1590","Holbrook",2011,2415
"1591","Holbrook",2012,2435
"1592","Holden",2001,3544
"1593","Holden",2002,3575
"1594","Holden",2003,3643
"1595","Holden",2004,3793
"1596","Holden",2005,3781
"1597","Holden",2006,3682
"1598","Holden",2007,3599
"1599","Holden",2008,3486
"1600","Holden",2009,3501
"1601","Holden",2010,3478
"1602","Holden",2011,3526
"1603","Holden",2012,3616
"1604","Holland",2001,127
"1605","Holland",2002,128
"1606","Holland",2003,143
"1607","Holland",2004,132
"1608","Holland",2005,138
"1609","Holland",2006,137
"1610","Holland",2007,147
"1611","Holland",2008,145
"1612","Holland",2009,146
"1613","Holland",2010,133
"1614","Holland",2011,132
"1615","Holland",2012,134
"1616","Holliston",2001,5247
"1617","Holliston",2002,5277
"1618","Holliston",2003,5126
"1619","Holliston",2004,4992
"1620","Holliston",2005,5142
"1621","Holliston",2006,5042
"1622","Holliston",2007,5337
"1623","Holliston",2008,5561
"1624","Holliston",2009,5293
"1625","Holliston",2010,5343
"1626","Holliston",2011,5674
"1627","Holliston",2012,6149
"1628","Holyoke",2001,24045
"1629","Holyoke",2002,23241
"1630","Holyoke",2003,22741
"1631","Holyoke",2004,22185
"1632","Holyoke",2005,22236
"1633","Holyoke",2006,22078
"1634","Holyoke",2007,21972
"1635","Holyoke",2008,21672
"1636","Holyoke",2009,20949
"1637","Holyoke",2010,21716
"1638","Holyoke",2011,21920
"1639","Holyoke",2012,22039
"1640","Hopedale",2001,1687
"1641","Hopedale",2002,1662
"1642","Hopedale",2003,1551
"1643","Hopedale",2004,1465
"1644","Hopedale",2005,1629
"1645","Hopedale",2006,1627
"1646","Hopedale",2007,1668
"1647","Hopedale",2008,1729
"1648","Hopedale",2009,1616
"1649","Hopedale",2010,1584
"1650","Hopedale",2011,1601
"1651","Hopedale",2012,1762
"1652","Hopkinton",2001,8731
"1653","Hopkinton",2002,7711
"1654","Hopkinton",2003,7391
"1655","Hopkinton",2004,7418
"1656","Hopkinton",2005,9096
"1657","Hopkinton",2006,9668
"1658","Hopkinton",2007,8934
"1659","Hopkinton",2008,9315
"1660","Hopkinton",2009,9181
"1661","Hopkinton",2010,9104
"1662","Hopkinton",2011,9309
"1663","Hopkinton",2012,10881
"1664","Hubbardston",2001,632
"1665","Hubbardston",2002,629
"1666","Hubbardston",2003,549
"1667","Hubbardston",2004,546
"1668","Hubbardston",2005,527
"1669","Hubbardston",2006,551
"1670","Hubbardston",2007,569
"1671","Hubbardston",2008,532
"1672","Hubbardston",2009,501
"1673","Hubbardston",2010,477
"1674","Hubbardston",2011,500
"1675","Hubbardston",2012,492
"1676","Hudson",2001,10702
"1677","Hudson",2002,10288
"1678","Hudson",2003,9796
"1679","Hudson",2004,9736
"1680","Hudson",2005,9534
"1681","Hudson",2006,9884
"1682","Hudson",2007,10405
"1683","Hudson",2008,10296
"1684","Hudson",2009,9391
"1685","Hudson",2010,9684
"1686","Hudson",2011,9828
"1687","Hudson",2012,9934
"1688","Hull",2001,1315
"1689","Hull",2002,1403
"1690","Hull",2003,1421
"1691","Hull",2004,1346
"1692","Hull",2005,1325
"1693","Hull",2006,1342
"1694","Hull",2007,1338
"1695","Hull",2008,1309
"1696","Hull",2009,1320
"1697","Hull",2010,1316
"1698","Hull",2011,1262
"1699","Hull",2012,1244
"1700","Huntington",2001,419
"1701","Huntington",2002,456
"1702","Huntington",2003,412
"1703","Huntington",2004,383
"1704","Huntington",2005,405
"1705","Huntington",2006,434
"1706","Huntington",2007,448
"1707","Huntington",2008,430
"1708","Huntington",2009,416
"1709","Huntington",2010,423
"1710","Huntington",2011,426
"1711","Huntington",2012,406
"1712","Ipswich",2001,3912
"1713","Ipswich",2002,3821
"1714","Ipswich",2003,3855
"1715","Ipswich",2004,3924
"1716","Ipswich",2005,4144
"1717","Ipswich",2006,4218
"1718","Ipswich",2007,4233
"1719","Ipswich",2008,4977
"1720","Ipswich",2009,4887
"1721","Ipswich",2010,4988
"1722","Ipswich",2011,5133
"1723","Ipswich",2012,5389
"1724","Kingston",2001,5118
"1725","Kingston",2002,5521
"1726","Kingston",2003,5697
"1727","Kingston",2004,5797
"1728","Kingston",2005,5833
"1729","Kingston",2006,5613
"1730","Kingston",2007,5761
"1731","Kingston",2008,5532
"1732","Kingston",2009,5137
"1733","Kingston",2010,4932
"1734","Kingston",2011,4948
"1735","Kingston",2012,5029
"1736","Lakeville",2001,3061
"1737","Lakeville",2002,3116
"1738","Lakeville",2003,3226
"1739","Lakeville",2004,3260
"1740","Lakeville",2005,3140
"1741","Lakeville",2006,3170
"1742","Lakeville",2007,3341
"1743","Lakeville",2008,3335
"1744","Lakeville",2009,2974
"1745","Lakeville",2010,2864
"1746","Lakeville",2011,2837
"1747","Lakeville",2012,2704
"1748","Lancaster",2001,2395
"1749","Lancaster",2002,2113
"1750","Lancaster",2003,1989
"1751","Lancaster",2004,1990
"1752","Lancaster",2005,1975
"1753","Lancaster",2006,2044
"1754","Lancaster",2007,2047
"1755","Lancaster",2008,2006
"1756","Lancaster",2009,2111
"1757","Lancaster",2010,2172
"1758","Lancaster",2011,2176
"1759","Lancaster",2012,2075
"1760","Lanesborough",2001,1703
"1761","Lanesborough",2002,1810
"1762","Lanesborough",2003,1862
"1763","Lanesborough",2004,1859
"1764","Lanesborough",2005,1878
"1765","Lanesborough",2006,1828
"1766","Lanesborough",2007,1835
"1767","Lanesborough",2008,1776
"1768","Lanesborough",2009,1766
"1769","Lanesborough",2010,1735
"1770","Lanesborough",2011,1644
"1771","Lanesborough",2012,1536
"1772","Lawrence",2001,23942
"1773","Lawrence",2002,22211
"1774","Lawrence",2003,22540
"1775","Lawrence",2004,22344
"1776","Lawrence",2005,22165
"1777","Lawrence",2006,22669
"1778","Lawrence",2007,23274
"1779","Lawrence",2008,23371
"1780","Lawrence",2009,22916
"1781","Lawrence",2010,24103
"1782","Lawrence",2011,24645
"1783","Lawrence",2012,25345
"1784","Lee",2001,3677
"1785","Lee",2002,3862
"1786","Lee",2003,3736
"1787","Lee",2004,3790
"1788","Lee",2005,3955
"1789","Lee",2006,3898
"1790","Lee",2007,3897
"1791","Lee",2008,3825
"1792","Lee",2009,3824
"1793","Lee",2010,3846
"1794","Lee",2011,3928
"1795","Lee",2012,3929
"1796","Leicester",2001,2118
"1797","Leicester",2002,2068
"1798","Leicester",2003,2121
"1799","Leicester",2004,2088
"1800","Leicester",2005,2040
"1801","Leicester",2006,2007
"1802","Leicester",2007,2310
"1803","Leicester",2008,2241
"1804","Leicester",2009,2282
"1805","Leicester",2010,2180
"1806","Leicester",2011,2195
"1807","Leicester",2012,2185
"1808","Lenox",2001,3718
"1809","Lenox",2002,3785
"1810","Lenox",2003,3850
"1811","Lenox",2004,4001
"1812","Lenox",2005,4409
"1813","Lenox",2006,4371
"1814","Lenox",2007,4419
"1815","Lenox",2008,4389
"1816","Lenox",2009,3988
"1817","Lenox",2010,3889
"1818","Lenox",2011,3947
"1819","Lenox",2012,4021
"1820","Leominster",2001,18685
"1821","Leominster",2002,18189
"1822","Leominster",2003,18060
"1823","Leominster",2004,18338
"1824","Leominster",2005,18326
"1825","Leominster",2006,18677
"1826","Leominster",2007,18822
"1827","Leominster",2008,18701
"1828","Leominster",2009,17905
"1829","Leominster",2010,17514
"1830","Leominster",2011,17621
"1831","Leominster",2012,17703
"1832","Leverett",2001,181
"1833","Leverett",2002,195
"1834","Leverett",2003,190
"1835","Leverett",2004,195
"1836","Leverett",2005,206
"1837","Leverett",2006,201
"1838","Leverett",2007,219
"1839","Leverett",2008,211
"1840","Leverett",2009,195
"1841","Leverett",2010,208
"1842","Leverett",2011,174
"1843","Leverett",2012,184
"1844","Lexington",2001,21426
"1845","Lexington",2002,20337
"1846","Lexington",2003,19691
"1847","Lexington",2004,19622
"1848","Lexington",2005,19880
"1849","Lexington",2006,19919
"1850","Lexington",2007,19161
"1851","Lexington",2008,19931
"1852","Lexington",2009,20269
"1853","Lexington",2010,19281
"1854","Lexington",2011,19410
"1855","Lexington",2012,19665
"1856","Leyden",2006,44
"1857","Leyden",2007,70
"1858","Leyden",2008,65
"1859","Leyden",2009,65
"1860","Leyden",2010,51
"1861","Leyden",2011,70
"1862","Leyden",2012,52
"1863","Lincoln",2001,2051
"1864","Lincoln",2002,1871
"1865","Lincoln",2003,1774
"1866","Lincoln",2004,1718
"1867","Lincoln",2005,1729
"1868","Lincoln",2006,1721
"1869","Lincoln",2007,1759
"1870","Lincoln",2008,1880
"1871","Lincoln",2009,1952
"1872","Lincoln",2010,2004
"1873","Lincoln",2011,2116
"1874","Lincoln",2012,2129
"1875","Littleton",2001,5766
"1876","Littleton",2002,5376
"1877","Littleton",2003,5252
"1878","Littleton",2004,5454
"1879","Littleton",2005,5311
"1880","Littleton",2006,4879
"1881","Littleton",2007,5018
"1882","Littleton",2008,5223
"1883","Littleton",2009,4703
"1884","Littleton",2010,4803
"1885","Littleton",2011,4634
"1886","Littleton",2012,6447
"1887","Longmeadow",2001,3261
"1888","Longmeadow",2002,3309
"1889","Longmeadow",2003,3295
"1890","Longmeadow",2004,3201
"1891","Longmeadow",2005,3206
"1892","Longmeadow",2006,3318
"1893","Longmeadow",2007,3351
"1894","Longmeadow",2008,3339
"1895","Longmeadow",2009,3353
"1896","Longmeadow",2010,3386
"1897","Longmeadow",2011,3530
"1898","Longmeadow",2012,3684
"1899","Lowell",2001,34556
"1900","Lowell",2002,33799
"1901","Lowell",2003,32519
"1902","Lowell",2004,32900
"1903","Lowell",2005,33077
"1904","Lowell",2006,33164
"1905","Lowell",2007,33353
"1906","Lowell",2008,33612
"1907","Lowell",2009,33033
"1908","Lowell",2010,33668
"1909","Lowell",2011,34093
"1910","Lowell",2012,34673
"1911","Ludlow",2001,5937
"1912","Ludlow",2002,6116
"1913","Ludlow",2003,5980
"1914","Ludlow",2004,6189
"1915","Ludlow",2005,6248
"1916","Ludlow",2006,6286
"1917","Ludlow",2007,6467
"1918","Ludlow",2008,6561
"1919","Ludlow",2009,6372
"1920","Ludlow",2010,6412
"1921","Ludlow",2011,6647
"1922","Ludlow",2012,6564
"1923","Lunenburg",2001,2464
