"","Org.Name","Org.Code","Address.1","Address.2","Town","Zip","query","lon","lat","loc"
"1023","Middleborough: John T. Nichols Middle","01820305","112 Tiger Drive","","Middleborough","02346","112 Tiger Drive, , Middleborough, 02346, Massachusetts",-70.8948585,41.8887046,"-70.8948585 41.8887046"
"1024","Middleborough: Mary K. Goode Elementary School","01820010","31 Mayflower Avenue","","Middleborough","02346","31 Mayflower Avenue, , Middleborough, 02346, Massachusetts",-70.9114185,41.8862026,"-70.9114185 41.8862026"
"1025","Middleborough: Memorial Early Childhood Center","01820011","219 North Main Street","","Middleboro","02346","219 North Main Street, , Middleboro, 02346, Massachusetts",-70.9059671,41.8952704,"-70.9059671 41.8952704"
"1026","Middleborough: Middleborough High","01820505","71 East Grove Street","","Middleborough","02346","71 East Grove Street, , Middleborough, 02346, Massachusetts",-70.9045131,41.8803791,"-70.9045131 41.8803791"
"1027","Middleton: Fuller Meadow","01840003","143 South Main Street","","Middleton","01949","143 South Main Street, , Middleton, 01949, Massachusetts",-71.009582,42.583584,"-71.009582 42.583584"
"1028","Middleton: Howe-Manning","01840005","26 Central Street","","Middleton","01949","26 Central Street, , Middleton, 01949, Massachusetts",-71.016067,42.597627,"-71.016067 42.597627"
"1029","Milford: Brookside","01850065","110 Congress Street","","Milford","01757","110 Congress Street, , Milford, 01757, Massachusetts",-71.5293974,42.1498744,"-71.5293974 42.1498744"
"1030","Milford: Memorial","01850010","12-14 Walnut Street","","Milford","01757","12-14 Walnut Street, , Milford, 01757, Massachusetts",-71.5212288,42.1448622,"-71.5212288 42.1448622"
"1031","Milford: Milford High","01850505","31 West Fountain Street","","Milford","01757","31 West Fountain Street, , Milford, 01757, Massachusetts",-71.535442,42.1494202,"-71.535442 42.1494202"
"1032","Milford: Milford Middle East","01850310","45 Main Street","","Milford","01757","45 Main Street, , Milford, 01757, Massachusetts",-71.5153699,42.143414,"-71.5153699 42.143414"
"1033","Milford: Shining Star Early Childhood Center","01850075","31 West Fountain Street","","Milford","01757","31 West Fountain Street, , Milford, 01757, Massachusetts",-71.535442,42.1494202,"-71.535442 42.1494202"
"1034","Milford: Stacy Middle","01850305","66 School Street","","Milford","01757","66 School Street, , Milford, 01757, Massachusetts",-71.5203482,42.1433647,"-71.5203482 42.1433647"
"1035","Milford: Woodland","01850090","10 North Vine Street","","Milford","01757","10 North Vine Street, , Milford, 01757, Massachusetts",-71.5414203,42.1588258,"-71.5414203 42.1588258"
"1036","Millbury: Elmwood Street","01860017","40 Elmwood Street","","Millbury","01527","40 Elmwood Street, , Millbury, 01527, Massachusetts",-71.7731881,42.1875269,"-71.7731881 42.1875269"
"1037","Millbury: Millbury Junior/Senior High","01860505","12 Martin Street","","Millbury","01527","12 Martin Street, , Millbury, 01527, Massachusetts",-71.7668054,42.2002741,"-71.7668054 42.2002741"
"1038","Millbury: Raymond E. Shaw Elementary","01860025","58 Elmwood Street","","Millbury","01527","58 Elmwood Street, , Millbury, 01527, Massachusetts",-71.7733924,42.1855417,"-71.7733924 42.1855417"
"1039","Millis: Clyde F Brown","01870005","5 Park Rd","","Millis","02054","5 Park Rd, , Millis, 02054, Massachusetts",-71.3594997,42.1663451,"-71.3594997 42.1663451"
"1040","Millis: Millis High School","01870505","245 Plain Street","","Millis","02054","245 Plain Street, , Millis, 02054, Massachusetts",-71.3547289,42.1625067,"-71.3547289 42.1625067"
"1041","Millis: Millis Middle","01870020","245 Plain Street","","Millis","02054","245 Plain Street, , Millis, 02054, Massachusetts",-71.3547289,42.1625067,"-71.3547289 42.1625067"
"1042","Milton: Charles S Pierce Middle","01890410","451 Central Ave","","Milton","02186","451 Central Ave, , Milton, 02186, Massachusetts",-71.083563,42.258047,"-71.083563 42.258047"
"1043","Milton: Collicot","01890005","80 Edge Hill Rd","","Milton","02186","80 Edge Hill Rd, , Milton, 02186, Massachusetts",-71.0523982,42.2536186,"-71.0523982 42.2536186"
"1044","Milton: Cunningham School","01890007","44 Edge Hill Rd","","Milton","02186","44 Edge Hill Rd, , Milton, 02186, Massachusetts",-71.053366,42.2530572,"-71.053366 42.2530572"
"1045","Milton: Glover","01890010","255 Canton Avenue","","Milton","02186","255 Canton Avenue, , Milton, 02186, Massachusetts",-71.075303,42.261465,"-71.075303 42.261465"
"1046","Milton: Milton High","01890505","25 Gile Road","","Milton","02186","25 Gile Road, , Milton, 02186, Massachusetts",-71.087221,42.251295,"-71.087221 42.251295"
"1047","Milton: Tucker","01890020","187 Blue Hills Pkwy","","Milton","02186","187 Blue Hills Pkwy, , Milton, 02186, Massachusetts",-71.0947489,42.26081,"-71.0947489 42.26081"
"1048","Minuteman Regional Vocational Technical: Minuteman Regional High","08300605","758 Marrett Rd","","Lexington","02421","758 Marrett Rd, , Lexington, 02421, Massachusetts",-71.269449,42.44574,"-71.269449 42.44574"
"1049","Mohawk Trail: Buckland-Shelburne Regional","07170005","75 Mechanic Street","","Shelburne Falls","01370","75 Mechanic Street, , Shelburne Falls, 01370, Massachusetts",-72.7355675,42.6086584,"-72.7355675 42.6086584"
"1050","Mohawk Trail: Colrain Central","07170010","22 Jacksonville Rd","","Colrain","01340","22 Jacksonville Rd, , Colrain, 01340, Massachusetts",-72.697485,42.675501,"-72.697485 42.675501"
"1051","Mohawk Trail: Heath Elementary","07170015","18 Jacobs Road","","Charlemont","01339","18 Jacobs Road, , Charlemont, 01339, Massachusetts",-72.831401,42.7041149,"-72.831401 42.7041149"
"1052","Mohawk Trail: Mohawk Trail Regional High","07170505","26 Ashfield Road","","Shelburne Falls","01370","26 Ashfield Road, , Shelburne Falls, 01370, Massachusetts",-72.7543243,42.615145,"-72.7543243 42.615145"
"1053","Mohawk Trail: Sanderson Academy","07170020","808 Cape Street","","Ashfield","01330","808 Cape Street, , Ashfield, 01330, Massachusetts",-72.812861,42.50886,"-72.812861 42.50886"
"1054","Monomoy Regional School District: Chatham Elementary School","07120001","147 Depot Road","","Chatham","02633","147 Depot Road, , Chatham, 02633, Massachusetts",-69.9615558,41.6864384,"-69.9615558 41.6864384"
"1055","Monomoy Regional School District: Harwich Elementary School","07120002","263 South Street","","Harwich","02645","263 South Street, , Harwich, 02645, Massachusetts",-70.0832795,41.6841047,"-70.0832795 41.6841047"
"1056","Monomoy Regional School District: Monomoy Regional High School","07120515","75 Oak Street","","Harwich","02645","75 Oak Street, , Harwich, 02645, Massachusetts",-70.0703236,41.6906521,"-70.0703236 41.6906521"
"1057","Monomoy Regional School District: Monomoy Regional Middle School","07120315","425 Crowell Road","","Chatham","02633","425 Crowell Road, , Chatham, 02633, Massachusetts",-69.971144,41.6946397,"-69.971144 41.6946397"
"1058","Monson: Granite Valley Middle","01910310","21 Thompson Street","","Monson","01057","21 Thompson Street, , Monson, 01057, Massachusetts",-72.3194453,42.1096123,"-72.3194453 42.1096123"
"1059","Monson: Monson High School","01910505","55 Margaret Street","","Monson","01057","55 Margaret Street, , Monson, 01057, Massachusetts",-72.3240665,42.1153427,"-72.3240665 42.1153427"
