"","school","org.code","lon","lat"
"226","Jeremiah E Burke High School Boston MA","00350525",-71.052296,42.332055
"227","John D Philbrick School Boston MA","00350172",-71.062654,42.347842
"228","John F Kennedy School Boston MA","00350166",-71.062654,42.347842
"229","John Marshall School Boston MA","00350178",-71.056876,42.361596
"230","John P Holland School Boston MA","00350167",-71.083109,42.311169
"231","John W McCormack School Boston MA","00350179",-71.030858,42.364709
"232","John Winthrop School Boston MA","00350180",-70.981062,42.371621
"233","Joseph J Hurley School Boston MA","00350182",-71.065918,42.289361
"234","Joseph Lee School Boston MA","00350183",-71.065918,42.289361
"235","Joseph P Manning School Boston MA","00350184",-71.065918,42.289361
"236","Joseph P Tynan School Boston MA","00350181",-71.065918,42.289361
"237","Josiah Quincy School Boston MA","00350286",-71.00516,42.24252
"238","Joyce Kilmer School Boston MA","00350190",-71.096248,42.312491
"239","King K-8 School Boston MA","00350376",-71.06261,42.291809
"240","Lee Academy School Boston MA","00350001",-71.097876,42.32102
"241","Lilla G. Frederick Middle School School Boston MA","00350383",-71.053069,42.333645
"242","Lyndon School Boston MA","00350262",-71.040953,42.37102
"243","Lyon K-8 School Boston MA","00350004",-71.061771,42.306008
"244","Lyon Upper 9-12 School Boston MA","00350655",-71.061771,42.306008
"245","Madison Park High School Boston MA","00350537",-71.085222,42.330599
"246","Manassah E Bradley School Boston MA","00350215",-71.072701,42.297808
"247","Margarita Muniz Academy School Boston MA","00350549",-71.097876,42.32102
"248","Mario Umana Academy School Boston MA","00350656",-71.097876,42.32102
"249","Mather School Boston MA","00350227",-71.066729,42.293775
"250","Mattahunt School Boston MA","00350226",-71.096248,42.312491
"251","Maurice J Tobin School Boston MA","00350229",-71.097196,42.335468
"252","Michael J Perkins School Boston MA","00350231",-71.086379,42.329651
"253","Mildred Avenue K-8 School Boston MA","00350378",-71.096248,42.312491
"254","Mission Hill School School Boston MA","00350382",-71.107089,42.332924
"255","Mozart School Boston MA","00350237",-71.096248,42.312491
"256","Nathan Hale School Boston MA","00350243",-71.081313,42.328486
"257","New Mission High School School Boston MA","00350542",-71.107089,42.332924
"258","O W Holmes School Boston MA","00350138",-71.081738,42.331942
"259","O'Bryant School Math/Science School Boston MA","00350575",-71.096248,42.312491
"260","Oliver Hazard Perry School Boston MA","00350255",-71.054848,42.35735
"261","Orchard Gardens School Boston MA","00350257",-71.077394,42.32929
"262","Patrick J Kennedy School Boston MA","00350264",-71.081724,42.314457
"263","Paul A Dever School Boston MA","00350268",-71.069471,42.304423
"264","Phineas Bates School Boston MA","00350278",-71.095692,42.346101
"265","Quincy Upper School School Boston MA","00350565",-71.079495,42.314938
"266","Rafael Hernandez School Boston MA","00350691",-71.096248,42.312491
"267","Richard J Murphy School Boston MA","00350240",-71.075191,42.287293
"268","Roger Clap School Boston MA","00350298",-71.061011,42.322424
"269","Samuel Adams School Boston MA","00350302",-71.048605,42.338387
"270","Samuel W Mason School Boston MA","00350304",-71.062895,42.354596
"271","Sarah Greenwood School Boston MA","00350308",-71.066805,42.48193
"272","Snowden International School at Copley School Boston MA","00350690",-71.091593,42.291554
