"","Municipal","County","State","Region"," Five_Year_Range"," Estimate; VETERAN STATUS - Civilian population 18 years and over"," Estimate; VETERAN STATUS - Civilian veterans"," Percent; VETERAN STATUS - Civilian veterans"," Percent Margin of Error; VETERAN STATUS - Civilian veterans"
"322","Fitchburg","Worcester County","MA","Fitchburg","2006-2010","31196","2655","8.5","0.9"
"323","Gardner","Worcester County","MA","Gardner","2006-2010","16111","1982","12.3","1.8"
"324","Grafton","Worcester County","MA","Grafton","2006-2010","12390","812","6.6","1.4"
"325","Hardwick","Worcester County","MA","Hardwick","2006-2010","2272","302","13.3","3.6"
"326","Harvard","Worcester County","MA","Harvard","2006-2010","4885","482","9.9","2.2"
"327","Holden","Worcester County","MA","Holden","2006-2010","12768","1402","11","1.2"
"328","Hopedale","Worcester County","MA","Hopedale","2006-2010","4556","375","8.2","2.7"
"329","Hubbardston","Worcester County","MA","Hubbardston","2006-2010","3191","433","13.6","4.6"
"330","Lancaster","Worcester County","MA","Lancaster","2006-2010","6039","521","8.6","2.1"
"331","Leicester","Worcester County","MA","Leicester","2006-2010","8526","1070","12.5","2"
"332","Leominster","Worcester County","MA","Leominster","2006-2010","31101","3393","10.9","1.2"
"333","Lunenburg","Worcester County","MA","Lunenburg","2006-2010","7582","801","10.6","2.2"
"334","Mendon","Worcester County","MA","Mendon","2006-2010","4153","394","9.5","2.5"
"335","Milford","Worcester County","MA","Milford","2006-2010","21139","1764","8.3","1.3"
"336","Millbury","Worcester County","MA","Millbury","2006-2010","10561","1071","10.1","2"
"337","Millville","Worcester County","MA","Millville","2006-2010","2233","207","9.3","2.6"
"338","New Braintree","Worcester County","MA","New Braintree","2006-2010","761","72","9.5","3.3"
"339","Northborough","Worcester County","MA","Northborough","2006-2010","10136","753","7.4","1.3"
"340","Northbridge","Worcester County","MA","Northbridge","2006-2010","11229","1313","11.7","2.3"
"341","North Brookfield","Worcester County","MA","North Brookfield","2006-2010","3561","425","11.9","3.6"
"342","Oakham","Worcester County","MA","Oakham","2006-2010","1412","154","10.9","2.3"
"343","Oxford","Worcester County","MA","Oxford","2006-2010","10427","1024","9.8","1.8"
"344","Paxton","Worcester County","MA","Paxton","2006-2010","3587","483","13.5","3.1"
"345","Petersham","Worcester County","MA","Petersham","2006-2010","1093","98","9","2.7"
"346","Phillipston","Worcester County","MA","Phillipston","2006-2010","1361","148","10.9","2.4"
"347","Princeton","Worcester County","MA","Princeton","2006-2010","2547","276","10.8","4"
"348","Royalston","Worcester County","MA","Royalston","2006-2010","922","133","14.4","3.1"
"349","Rutland","Worcester County","MA","Rutland","2006-2010","5434","739","13.6","3.2"
"350","Shrewsbury","Worcester County","MA","Shrewsbury","2006-2010","25429","2292","9","1"
"351","Southborough","Worcester County","MA","Southborough","2006-2010","6640","574","8.6","1.9"
"352","Southbridge","Worcester County","MA","Southbridge","2006-2010","12283","1406","11.4","1.5"
"353","Spencer","Worcester County","MA","Spencer","2006-2010","9075","1082","11.9","2.2"
"354","Sterling","Worcester County","MA","Sterling","2006-2010","5682","511","9","2.3"
"355","Sturbridge","Worcester County","MA","Sturbridge","2006-2010","6765","732","10.8","2.8"
"356","Sutton","Worcester County","MA","Sutton","2006-2010","6459","728","11.3","2.5"
"357","Templeton","Worcester County","MA","Templeton","2006-2010","5784","736","12.7","3"
"358","Upton","Worcester County","MA","Upton","2006-2010","5060","418","8.3","2.4"
"359","Uxbridge","Worcester County","MA","Uxbridge","2006-2010","9747","1155","11.8","2.2"
"360","Warren","Worcester County","MA","Warren","2006-2010","3921","507","12.9","3.5"
"361","Webster","Worcester County","MA","Webster","2006-2010","13176","1403","10.6","1.6"
"362","Westborough","Worcester County","MA","Westborough","2006-2010","13352","925","6.9","1.5"
"363","West Boylston","Worcester County","MA","West Boylston","2006-2010","6471","638","9.9","2.1"
"364","West Brookfield","Worcester County","MA","West Brookfield","2006-2010","3084","345","11.2","3.2"
"365","Westminster","Worcester County","MA","Westminster","2006-2010","5431","636","11.7","2.8"
"366","Winchendon","Worcester County","MA","Winchendon","2006-2010","7495","1351","18","4.5"
"367","Worcester","Worcester County","MA","Worcester","2006-2010","140373","10695","7.6","0.5"
"368",NA,"NA County",NA,"United States","2007-2011","231421987","22215303","9.6","0.1"
"369",NA,"NA County","MA","MA","2007-2011","5083130","412617","8.1","0.1"
"370",NA,"Barnstable County","MA","Barnstable County","2007-2011","177715","24097","13.6","0.4"
"371",NA,"Berkshire County","MA","Berkshire County","2007-2011","105292","11153","10.6","0.5"
"372",NA,"Bristol County","MA","Bristol County","2007-2011","423505","36141","8.5","0.3"
"373",NA,"Dukes County","MA","Dukes County","2007-2011","12843","1204","9.4","1.4"
"374",NA,"Essex County","MA","Essex County","2007-2011","566602","46486","8.2","0.2"
"375",NA,"Franklin County","MA","Franklin County","2007-2011","57202","6292","11","0.6"
"376",NA,"Hampden County","MA","Hampden County","2007-2011","351911","34380","9.8","0.3"
"377",NA,"Hampshire County","MA","Hampshire County","2007-2011","130645","10582","8.1","0.4"
"378",NA,"Middlesex County","MA","Middlesex County","2007-2011","1170644","81460","7","0.1"
