"","Region","Year","Number_of_Months_Reported","Single_Family_Buildings","Single_Family_Units","Single_Family_Valuation","I2_Family_Buildings","I2_Family_Units","I2_Family_Valuation","I3-4_Family_Buildings","I3-4_Family_Units","I3-4_Family_Valuation","I5_Family_Buildings","I5_Family_Units","I5_Family_Valuation","Total_Buildings","Total_Units","Total_Valuation","Average_Valuation_PerUnits","Total_Pct_Change","Change_from_previous","Pct_Change_from_previous","Percentage_of_1_Family","Percentage_of_2_Family","Percentage_of_3_and_4_Family","Percentage_of_5_Family","Inflation_Adjusted_1_Family_Valuation","Inflation_Adjusted_2_Family_Valuation","Inflation_Adjusted_3_4_Family_Valuation","Inflation_Adjusted_5_Family_Valuation","Inflation_Adjusted_Total_Valuation","Inflation_Adjusted_Average_Valuation","Permits_Per_1000_Population"
"32","Acton",2013,12,83,83,18106715,5,10,1215010,0,0,0,0,0,0,88,93,19321725,207760.483870968,-26.1904761904762,0.576271186440678,57.6271186440678,89.247311827957,10.752688172043,0,0,19052091.0760355,1278447.31516975,0,0,20330538.3912052,218607.939690379,0.10855981831034
"33","Acton",2014,12,87,87,22074449,0,0,0,0,0,0,0,0,0,87,87,22074449,253729.298850575,-30.952380952381,-0.0645161290322581,-6.45161290322581,100,0,0,0,22856215.1040822,0,0,0,22856215.1040822,262715.116138876,0.106441418680591
"34","Acton",2015,11,55,55,12182959,2,4,660000,0,0,0,0,0,0,51,53,11320583,213595.905660377,-57.9365079365079,-0.390804597701149,-39.0804597701149,103.77358490566,7.54716981132075,0,0,12599462.9502525,682563.697962593,0,0,11707604.5387462,220898.198844267,0.0618582959858818
"35","Acton",2016,12,64,64,20027706,0,0,0,0,0,0,0,0,0,64,64,20027706,312932.90625,-49.2063492063492,0.207547169811321,20.7547169811321,100,0,0,0,20454367.1422917,0,0,0,20454367.1422917,319599.486598308,0.0771542615071362
"36","Acton",2017,12,15,15,4664300,2,4,480000,0,0,0,0,0,0,17,19,5144300,270752.631578947,-84.9206349206349,-0.703125,-70.3125,78.9473684210526,21.0526315789474,0,0,4664300,480000,0,0,5144300,270752.631578947,0.0203322286155786
"37","Acushnet",2000,12,43,43,6165392,0,0,0,0,0,0,0,0,0,43,43,6165392,143381.209302326,0,NA,NA,100,0,0,0,8776195.62740999,0,0,0,8776195.62740999,204097.572730465,4.22729060165159
"38","Acushnet",2001,12,55,55,8713502,0,0,0,0,0,0,0,0,0,55,55,8713502,158427.309090909,27.91,0.27906976744186,27.91,100,0,0,0,12060155.9019763,0,0,0,12060155.9019763,219275.561854114,5.3800254328475
"39","Acushnet",2002,12,48,48,8585443,0,0,0,0,0,0,0,0,0,48,48,8585443,178863.395833333,11.63,-0.127272727272727,-12.73,100,0,0,0,11697964.358866,0,0,0,11697964.358866,243707.590809709,4.66245750364255
"40","Acushnet",2003,12,32,32,5464700,0,0,0,0,0,0,0,0,0,32,32,5464700,170771.875,-25.58,-0.333333333333333,-33.33,100,0,0,0,7279930.7826087,0,0,0,7279930.7826087,227497.836956522,3.096274794388
"41","Acushnet",2004,12,35,35,7086507,0,0,0,0,0,0,0,0,0,35,35,7086507,202471.628571429,-18.6,0.09375,9.38,100,0,0,0,9195577.53223928,0,0,0,9195577.53223928,262730.786635409,3.38917400987702
"42","Acushnet",2005,12,31,31,6222540,0,0,0,0,0,0,0,0,0,31,31,6222540,200727.096774194,-27.91,-0.114285714285714,-11.43,100,0,0,0,7809877.13671275,0,0,0,7809877.13671275,251931.520539121,3.01146298814844
"43","Acushnet",2006,12,14,14,2332000,0,0,0,0,0,0,0,0,0,14,14,2332000,166571.428571429,-67.44,-0.548387096774194,-54.84,100,0,0,0,2835415.87301587,0,0,0,2835415.87301587,202529.70521542,1.36345929100117
"44","Acushnet",2007,12,9,9,3150000,0,0,0,0,0,0,0,0,0,9,9,3150000,350000,-79.07,-0.357142857142857,-35.71,100,0,0,0,3723934.36930289,0,0,0,3723934.36930289,413770.485478099,0.876680303915839
"45","Acushnet",2008,12,10,10,2397932,0,0,0,0,0,0,0,0,0,10,10,2397932,239793.2,-76.74,0.111111111111111,11.11,100,0,0,0,2730018.12255287,0,0,0,2730018.12255287,273001.812255287,0.973046608932568
"46","Acushnet",2009,12,5,5,1394286,0,0,0,0,0,0,0,0,0,5,5,1394286,278857.2,-88.37,-0.5,-50,100,0,0,0,1593046.34780947,0,0,0,1593046.34780947,318609.269561894,0.485955875206531
