"Municipal","County","State","Region","C_year","Unemployment.Rate","Number.of.Unemployed","Number.of.Employed","Number.in.Labor.Force"
"Watertown","Middlesex County","MA","Watertown",2002,4.7,959,19355,20314
"Watertown","Middlesex County","MA","Watertown",2003,4.8,969,19116,20085
"Watertown","Middlesex County","MA","Watertown",2004,3.9,770,18982,19752
"Watertown","Middlesex County","MA","Watertown",2005,3.6,700,19005,19705
"Watertown","Middlesex County","MA","Watertown",2006,3.5,699,19050,19749
"Watertown","Middlesex County","MA","Watertown",2007,3.2,640,19167,19807
"Watertown","Middlesex County","MA","Watertown",2008,3.8,751,19132,19883
"Watertown","Middlesex County","MA","Watertown",2009,6.2,1221,18593,19814
"Watertown","Middlesex County","MA","Watertown",2010,6.2,1205,18187,19392
"Watertown","Middlesex County","MA","Watertown",2011,5.2,1006,18456,19462
"Watertown","Middlesex County","MA","Watertown",2012,4.7,918,18658,19576
"Wayland","Middlesex County","MA","Wayland",1990,3.5,228,6318,6546
"Wayland","Middlesex County","MA","Wayland",1991,4.3,278,6168,6446
"Wayland","Middlesex County","MA","Wayland",1992,4.6,300,6220,6520
"Wayland","Middlesex County","MA","Wayland",1993,4.1,273,6308,6581
"Wayland","Middlesex County","MA","Wayland",1994,3.3,221,6443,6664
"Wayland","Middlesex County","MA","Wayland",1995,2.8,183,6287,6470
"Wayland","Middlesex County","MA","Wayland",1996,2.1,138,6444,6582
"Wayland","Middlesex County","MA","Wayland",1997,1.8,125,6682,6807
"Wayland","Middlesex County","MA","Wayland",1998,1.4,100,6800,6900
"Wayland","Middlesex County","MA","Wayland",1999,1.7,118,6899,7017
"Wayland","Middlesex County","MA","Wayland",2000,1.9,129,6721,6850
"Wayland","Middlesex County","MA","Wayland",2001,2.8,197,6728,6925
"Wayland","Middlesex County","MA","Wayland",2002,4.3,297,6601,6898
"Wayland","Middlesex County","MA","Wayland",2003,4.3,293,6483,6776
"Wayland","Middlesex County","MA","Wayland",2004,3.7,248,6442,6690
"Wayland","Middlesex County","MA","Wayland",2005,3.1,210,6480,6690
"Wayland","Middlesex County","MA","Wayland",2006,3.2,212,6453,6665
"Wayland","Middlesex County","MA","Wayland",2007,2.9,197,6523,6720
"Wayland","Middlesex County","MA","Wayland",2008,3.6,246,6563,6809
"Wayland","Middlesex County","MA","Wayland",2009,5.7,389,6421,6810
"Wayland","Middlesex County","MA","Wayland",2010,5.9,392,6272,6664
"Wayland","Middlesex County","MA","Wayland",2011,4.9,325,6365,6690
"Wayland","Middlesex County","MA","Wayland",2012,4.5,303,6435,6738
"Webster","Worcester County","MA","Webster",1990,8.2,689,7716,8405
"Webster","Worcester County","MA","Webster",1991,10.2,848,7448,8296
"Webster","Worcester County","MA","Webster",1992,10.7,894,7464,8358
"Webster","Worcester County","MA","Webster",1993,8.4,697,7598,8295
"Webster","Worcester County","MA","Webster",1994,6.1,505,7710,8215
"Webster","Worcester County","MA","Webster",1995,6.2,506,7634,8140
"Webster","Worcester County","MA","Webster",1996,4.9,398,7727,8125
"Webster","Worcester County","MA","Webster",1997,4.4,367,7895,8262
"Webster","Worcester County","MA","Webster",1998,4.4,383,8228,8611
"Webster","Worcester County","MA","Webster",1999,4,336,8167,8503
"Webster","Worcester County","MA","Webster",2000,3.4,277,7973,8250
"Webster","Worcester County","MA","Webster",2001,4.3,361,7969,8330
"Webster","Worcester County","MA","Webster",2002,6,508,7934,8442
"Webster","Worcester County","MA","Webster",2003,7.3,622,7932,8554
"Webster","Worcester County","MA","Webster",2004,6.4,543,7910,8453
"Webster","Worcester County","MA","Webster",2005,5.8,486,7872,8358
"Webster","Worcester County","MA","Webster",2006,6.1,513,7910,8423
"Webster","Worcester County","MA","Webster",2007,6,502,7914,8416
"Webster","Worcester County","MA","Webster",2008,7.1,589,7745,8334
"Webster","Worcester County","MA","Webster",2009,10.7,898,7520,8418
"Webster","Worcester County","MA","Webster",2010,10.2,851,7497,8348
"Webster","Worcester County","MA","Webster",2011,9.3,773,7563,8336
"Webster","Worcester County","MA","Webster",2012,8.7,717,7561,8278
"Wellesley","Norfolk County","MA","Wellesley",1990,2.6,353,13337,13690
"Wellesley","Norfolk County","MA","Wellesley",1991,3.4,452,12811,13263
"Wellesley","Norfolk County","MA","Wellesley",1992,3.6,484,12867,13351
"Wellesley","Norfolk County","MA","Wellesley",1993,3.1,412,13061,13473
"Wellesley","Norfolk County","MA","Wellesley",1994,2.7,369,13263,13632
"Wellesley","Norfolk County","MA","Wellesley",1995,2.4,326,13273,13599
"Wellesley","Norfolk County","MA","Wellesley",1996,1.6,219,13496,13715
"Wellesley","Norfolk County","MA","Wellesley",1997,1.4,202,13806,14008
"Wellesley","Norfolk County","MA","Wellesley",1998,1.4,199,13944,14143
"Wellesley","Norfolk County","MA","Wellesley",1999,1.3,191,14000,14191
"Wellesley","Norfolk County","MA","Wellesley",2000,1.8,235,13111,13346
"Wellesley","Norfolk County","MA","Wellesley",2001,2.5,340,13050,13390
"Wellesley","Norfolk County","MA","Wellesley",2002,3.7,499,12817,13316
"Wellesley","Norfolk County","MA","Wellesley",2003,3.8,494,12597,13091
"Wellesley","Norfolk County","MA","Wellesley",2004,3.5,453,12581,13034
"Wellesley","Norfolk County","MA","Wellesley",2005,3.2,424,12723,13147
"Wellesley","Norfolk County","MA","Wellesley",2006,3,390,12567,12957
"Wellesley","Norfolk County","MA","Wellesley",2007,3,395,12718,13113
"Wellesley","Norfolk County","MA","Wellesley",2008,3.6,482,12740,13222
"Wellesley","Norfolk County","MA","Wellesley",2009,5.7,742,12330,13072
"Wellesley","Norfolk County","MA","Wellesley",2010,5.2,705,12782,13487
"Wellesley","Norfolk County","MA","Wellesley",2011,4.4,598,12915,13513
"Wellesley","Norfolk County","MA","Wellesley",2012,4.1,565,13057,13622
"Wellfleet","Barnstable County","MA","Wellfleet",1990,8.6,157,1663,1820
"Wellfleet","Barnstable County","MA","Wellfleet",1991,11.3,212,1672,1884
"Wellfleet","Barnstable County","MA","Wellfleet",1992,12.9,251,1695,1946
"Wellfleet","Barnstable County","MA","Wellfleet",1993,11.5,231,1782,2013
"Wellfleet","Barnstable County","MA","Wellfleet",1994,11.7,239,1799,2038
"Wellfleet","Barnstable County","MA","Wellfleet",1995,11.5,239,1835,2074
"Wellfleet","Barnstable County","MA","Wellfleet",1996,7.8,156,1844,2000
"Wellfleet","Barnstable County","MA","Wellfleet",1997,7.6,152,1845,1997
"Wellfleet","Barnstable County","MA","Wellfleet",1998,7.6,154,1872,2026
"Wellfleet","Barnstable County","MA","Wellfleet",1999,6.5,133,1915,2048
"Wellfleet","Barnstable County","MA","Wellfleet",2000,4.8,74,1459,1533
"Wellfleet","Barnstable County","MA","Wellfleet",2001,5.2,81,1476,1557
"Wellfleet","Barnstable County","MA","Wellfleet",2002,6.2,99,1506,1605
"Wellfleet","Barnstable County","MA","Wellfleet",2003,6.7,110,1540,1650
"Wellfleet","Barnstable County","MA","Wellfleet",2004,6.2,103,1558,1661
"Wellfleet","Barnstable County","MA","Wellfleet",2005,6.5,108,1557,1665
