"Municipal","County","State","Region","C_year","Unemployment.Rate","Number.of.Unemployed","Number.of.Employed","Number.in.Labor.Force"
"Westborough","Worcester County","MA","Westborough",2002,4.9,463,8968,9431
"Westborough","Worcester County","MA","Westborough",2003,5.1,489,9012,9501
"Westborough","Worcester County","MA","Westborough",2004,4.2,390,8957,9347
"Westborough","Worcester County","MA","Westborough",2005,3.7,342,8927,9269
"Westborough","Worcester County","MA","Westborough",2006,3.7,339,8785,9124
"Westborough","Worcester County","MA","Westborough",2007,3.5,315,8804,9119
"Westborough","Worcester County","MA","Westborough",2008,4.2,380,8608,8988
"Westborough","Worcester County","MA","Westborough",2009,6.5,583,8361,8944
"Westborough","Worcester County","MA","Westborough",2010,6.6,591,8335,8926
"Westborough","Worcester County","MA","Westborough",2011,5.8,520,8409,8929
"Westborough","Worcester County","MA","Westborough",2012,5.1,453,8406,8859
"Westfield","Hampden County","MA","Westfield",1990,5.4,1066,18690,19756
"Westfield","Hampden County","MA","Westfield",1991,9.3,1845,18010,19855
"Westfield","Hampden County","MA","Westfield",1992,8.4,1634,17813,19447
"Westfield","Hampden County","MA","Westfield",1993,7.5,1444,17860,19304
"Westfield","Hampden County","MA","Westfield",1994,5.5,1044,18002,19046
"Westfield","Hampden County","MA","Westfield",1995,4.4,829,17818,18647
"Westfield","Hampden County","MA","Westfield",1996,3.5,646,18037,18683
"Westfield","Hampden County","MA","Westfield",1997,3.5,662,18493,19155
"Westfield","Hampden County","MA","Westfield",1998,3.4,648,18635,19283
"Westfield","Hampden County","MA","Westfield",1999,3.5,670,18723,19393
"Westfield","Hampden County","MA","Westfield",2000,2.7,573,20409,20982
"Westfield","Hampden County","MA","Westfield",2001,3.3,707,20423,21130
"Westfield","Hampden County","MA","Westfield",2002,4.6,988,20364,21352
"Westfield","Hampden County","MA","Westfield",2003,5.2,1118,20225,21343
"Westfield","Hampden County","MA","Westfield",2004,4.9,1041,20228,21269
"Westfield","Hampden County","MA","Westfield",2005,4.6,984,20290,21274
"Westfield","Hampden County","MA","Westfield",2006,4.7,995,20395,21390
"Westfield","Hampden County","MA","Westfield",2007,4.6,988,20301,21289
"Westfield","Hampden County","MA","Westfield",2008,5.4,1150,20344,21494
