"","Municipal","County","State","Region","Geography","Five_Year_Average","Estimate; Median household income in the past 12 months (inflation-adjusted dollars)","Estimate; Quintile Upper Limits- Lowest Quintile (inflation-adjusted dollars)","Estimate; Quintile Upper Limits- Second Quintile (inflation-adjusted dollars)","Estimate; Quintile Upper Limits- Third Quintile (inflation-adjusted dollars)","Estimate; Quintile Upper Limits- Fourth Quintile (inflation-adjusted dollars)","Estimate; Lower Limit of Top 5 Percent (inflation-adjusted dollars)","Estimate; Quintile Means: - Lowest Quintile","Estimate; Quintile Means: - Second Quintile","Estimate; Quintile Means: - Third Quintile","Estimate; Quintile Means: - Fourth Quintile","Estimate; Quintile Means: - Highest Quintile","Estimate; Lower Limit of Top 5 Percent (inflation-adjusted dollars).1"
"1072","Oxford","Worcester County","MA","Oxford","Oxford town, Worcester County, Massachusetts",2011,64009,27517,49112,69917,101990,195302,13620,38235,67820,97813,160744,213906
"1073","Paxton","Worcester County","MA","Paxton","Paxton town, Worcester County, Massachusetts",2011,104420,43041,87058,124728,184574,250000,26764,65919,102795,132207,220256,293905
"1074","Petersham","Worcester County","MA","Petersham","Petersham town, Worcester County, Massachusetts",2011,68981,30822,56298,91697,123787,208865,17900,38650,66183,94602,156852,209926
"1075","Phillipston","Worcester County","MA","Phillipston","Phillipston town, Worcester County, Massachusetts",2011,79700,35769,66250,88587,123214,165000,23869,53171,74302,97529,159022,240318
"1076","Princeton","Worcester County","MA","Princeton","Princeton town, Worcester County, Massachusetts",2011,68567,26752,54939,80150,117554,176984,35612,69487,108063,152565,228483,324368
"1077","Royalston","Worcester County","MA","Royalston","Royalston town, Worcester County, Massachusetts",2011,105072,47773,89140,112043,151182,250000,20256,42459,63015,93330,150476,216722
"1078","Rutland","Worcester County","MA","Rutland","Rutland town, Worcester County, Massachusetts",2011,65781,30000,49750,80455,116429,178958,24126,53909,84340,121465,180796,253245
"1079","Shrewsbury","Worcester County","MA","Shrewsbury","Shrewsbury town, Worcester County, Massachusetts",2011,74043,39875,65861,83250,109361,152417,24340,55596,88943,125132,215579,310811
"1080","Southborough","Worcester County","MA","Southborough","Southborough town, Worcester County, Massachusetts",2011,108319,53663,87977,119985,182750,219838,36936,89007,140137,195460,385962,584295
"1081","Southbridge","Worcester County","MA","Southbridge","Southbridge Town city, Worcester County, Massachusetts",2011,59609,33804,49167,82292,112000,146458,11263,26415,44466,71418,121041,174322
"1082","Spencer","Worcester County","MA","Spencer","Spencer town, Worcester County, Massachusetts",2011,83734,43369,64665,102126,141900,200438,12495,33524,60862,91615,163978,244689
"1083","Sterling","Worcester County","MA","Sterling","Sterling town, Worcester County, Massachusetts",2011,88985,41726,72917,104644,151094,236228,27807,64529,101948,141921,267576,471470
"1084","Sturbridge","Worcester County","MA","Sturbridge","Sturbridge town, Worcester County, Massachusetts",2011,142520,64846,117375,165655,245244,250000,14381,49880,79587,118809,202772,280564
"1085","Sutton","Worcester County","MA","Sutton","Sutton town, Worcester County, Massachusetts",2011,43965,18690,34365,55706,85543,133760,30685,70491,107466,153372,246727,353409
"1086","Templeton","Worcester County","MA","Templeton","Templeton town, Worcester County, Massachusetts",2011,59420,22402,45669,77129,107246,192609,15593,46326,70289,94601,141919,203737
"1087","Upton","Worcester County","MA","Upton","Upton town, Worcester County, Massachusetts",2011,102270,45492,81383,120936,166529,250000,21540,66958,111340,160011,252019,368116
"1088","Uxbridge","Worcester County","MA","Uxbridge","Uxbridge town, Worcester County, Massachusetts",2011,79044,30408,64904,94750,150273,215977,20967,56585,86193,114086,177636,240433
"1089","Warren","Worcester County","MA","Warren","Warren town, Worcester County, Massachusetts",2011,107500,47149,89682,123763,177158,250000,12432,34334,50776,80000,163899,283334
"1090","Webster","Worcester County","MA","Webster","Webster town, Worcester County, Massachusetts",2011,70116,31258,60838,80739,103925,141440,11301,28322,49703,76564,140159,208182
"1091","West Boylston","Worcester County","MA","West Boylston","West Boylston town, Worcester County, Massachusetts",2011,110083,47409,87333,135724,189714,250000,22592,46551,74535,111394,198081,308768
"1092","West Brookfield","Worcester County","MA","West Brookfield","West Brookfield town, Worcester County, Massachusetts",2011,86912,42437,71075,97554,131821,195453,12903,37239,61987,98476,153428,200700
"1093","Westborough","Worcester County","MA","Westborough","Westborough town, Worcester County, Massachusetts",2011,51188,26224,39762,61606,98755,157174,27953,63502,101070,149765,284752,447893
"1094","Westminster","Worcester County","MA","Westminster","Westminster town, Worcester County, Massachusetts",2011,49621,19651,38390,61766,92179,157583,26094,54917,77696,109019,164157,217526
"1095","Winchendon","Worcester County","MA","Winchendon","Winchendon town, Worcester County, Massachusetts",2011,73600,35408,61593,89158,138776,195188,17391,36741,59514,86973,144594,206873
"1096","Worcester","Worcester County","MA","Worcester","Worcester city, Worcester County, Massachusetts",2011,62685,24019,49895,76700,111367,172900,9424,25631,46360,74051,149163,240277
"1097","Westborough","Worcester County","MA","Westborough","Westborough town, Worcester County, Massachusetts",2011,99394,48614,80973,122264,184342,250000,NA,NA,NA,NA,NA,NA
"1098","Westminster","Worcester County","MA","Westminster","Westminster town, Worcester County, Massachusetts",2011,78632,42476,63771,92261,124813,172665,NA,NA,NA,NA,NA,NA
"1099","Winchendon","Worcester County","MA","Winchendon","Winchendon town, Worcester County, Massachusetts",2011,58137,30487,47063,73667,100568,166119,NA,NA,NA,NA,NA,NA
"1100","Worcester","Worcester County","MA","Worcester","Worcester city, Worcester County, Massachusetts",2011,45846,16737,35763,58498,93156,156754,NA,NA,NA,NA,NA,NA
"1101",NA,"NA County",NA,"United States","United States",2011,52762,21865,41515,65961,104624,191469,NA,NA,NA,NA,NA,NA
"1102",NA,"NA County",NA,"United States","United States",2012,53046,NA,NA,NA,NA,NA,11963,31461,53304,83952,184488,325541
"1103",NA,"NA County","MA","MA","Massachusetts",2012,66658,NA,NA,NA,NA,NA,13238,38099,66996,105132,226358,398103
"1104",NA,"Barnstable County","MA","Barnstable County","Barnstable County, Massachusetts",2012,60424,NA,NA,NA,NA,NA,14471,37103,60521,92154,197433,351274
"1105",NA,"Berkshire County","MA","Berkshire County","Berkshire County, Massachusetts",2012,47513,NA,NA,NA,NA,NA,11208,27637,48206,75222,167968,305519
"1106",NA,"Bristol County","MA","Bristol County","Bristol County, Massachusetts",2012,55995,NA,NA,NA,NA,NA,11882,31962,56524,89553,173432,276465
"1107",NA,"Dukes County","MA","Dukes County","Dukes County, Massachusetts",2012,65896,NA,NA,NA,NA,NA,14400,37600,65810,94826,202706,394106
"1108",NA,"Essex County","MA","Essex County","Essex County, Massachusetts",2012,66918,NA,NA,NA,NA,NA,13430,37648,67183,106012,228342,399033
"1109",NA,"Franklin County","MA","Franklin County","Franklin County, Massachusetts",2012,53298,NA,NA,NA,NA,NA,13796,33851,53838,79967,153177,252053
"1110",NA,"Hampden County","MA","Hampden County","Hampden County, Massachusetts",2012,49729,NA,NA,NA,NA,NA,10182,27304,49734,79350,158425,256429
"1111",NA,"Hampshire County","MA","Hampshire County","Hampshire County, Massachusetts",2012,61264,NA,NA,NA,NA,NA,13600,36241,61452,93723,181314,298593
"1112",NA,"Middlesex County","MA","Middlesex County","Middlesex County, Massachusetts",2012,81420,NA,NA,NA,NA,NA,16854,47840,81741,124593,269578,481550
"1113",NA,"Nantucket County","MA","Nantucket County","Nantucket County, Massachusetts",2012,83546,NA,NA,NA,NA,NA,18661,52956,83814,118625,312478,696573
"1114",NA,"Norfolk County","MA","Norfolk County","Norfolk County, Massachusetts",2012,84087,NA,NA,NA,NA,NA,17608,49691,84542,129133,287965,524053
"1115",NA,"Plymouth County","MA","Plymouth County","Plymouth County, Massachusetts",2012,74722,NA,NA,NA,NA,NA,17296,45371,74804,111273,220309,369768
"1116",NA,"Suffolk County","MA","Suffolk County","Suffolk County, Massachusetts",2012,52700,NA,NA,NA,NA,NA,7785,26779,53007,89145,211544,386545
"1117",NA,"Worcester County","MA","Worcester County","Worcester County, Massachusetts",2012,65968,NA,NA,NA,NA,NA,14152,38417,66112,101091,192301,302613
"1118","Barnstable","Barnstable County","MA","Barnstable","Barnstable Town city, Barnstable County, Massachusetts",2012,60745,NA,NA,NA,NA,NA,12767,36419,60513,90018,197909,363975
"1119","Bourne","Barnstable County","MA","Bourne","Bourne town, Barnstable County, Massachusetts",2012,61312,NA,NA,NA,NA,NA,14105,37407,62174,97706,178701,291982
"1120","Brewster","Barnstable County","MA","Brewster","Brewster town, Barnstable County, Massachusetts",2012,63922,NA,NA,NA,NA,NA,15226,42328,64624,101401,183806,275542
"1121","Chatham","Barnstable County","MA","Chatham","Chatham town, Barnstable County, Massachusetts",2012,66853,NA,NA,NA,NA,NA,16652,38067,65960,102436,275003,556861
"1122","Dennis","Barnstable County","MA","Dennis","Dennis town, Barnstable County, Massachusetts",2012,49058,NA,NA,NA,NA,NA,11875,29878,50160,82286,162237,253798
"1123","Eastham","Barnstable County","MA","Eastham","Eastham town, Barnstable County, Massachusetts",2012,57703,NA,NA,NA,NA,NA,19967,40039,60154,90545,164681,288406
"1124","Falmouth","Barnstable County","MA","Falmouth","Falmouth town, Barnstable County, Massachusetts",2012,61173,NA,NA,NA,NA,NA,14397,36076,61492,93005,227278,435729
"1125","Harwich","Barnstable County","MA","Harwich","Harwich town, Barnstable County, Massachusetts",2012,60651,NA,NA,NA,NA,NA,14438,37416,60865,86237,192780,356131
"1126","Mashpee","Barnstable County","MA","Mashpee","Mashpee town, Barnstable County, Massachusetts",2012,62547,NA,NA,NA,NA,NA,14690,38026,62007,93919,192136,315435
"1127","Orleans","Barnstable County","MA","Orleans","Orleans town, Barnstable County, Massachusetts",2012,62325,NA,NA,NA,NA,NA,18240,38630,61809,92372,231329,433206
"1128","Provincetown","Barnstable County","MA","Provincetown","Provincetown town, Barnstable County, Massachusetts",2012,46031,NA,NA,NA,NA,NA,11290,24602,44653,88385,221009,399466
"1129","Sandwich","Barnstable County","MA","Sandwich","Sandwich town, Barnstable County, Massachusetts",2012,82917,NA,NA,NA,NA,NA,24036,52822,82624,113282,199622,311609
"1130","Truro","Barnstable County","MA","Truro","Truro town, Barnstable County, Massachusetts",2012,81964,NA,NA,NA,NA,NA,17252,40854,75485,117894,221031,291518
"1131","Wellfleet","Barnstable County","MA","Wellfleet","Wellfleet town, Barnstable County, Massachusetts",2012,54959,NA,NA,NA,NA,NA,14744,35229,57261,86084,191208,272689
"1132","Yarmouth","Barnstable County","MA","Yarmouth","Yarmouth town, Barnstable County, Massachusetts",2012,51680,NA,NA,NA,NA,NA,13753,35212,52030,76434,166669,309472
"1133","Adams","Berkshire County","MA","Adams","Adams town, Berkshire County, Massachusetts",2012,40039,NA,NA,NA,NA,NA,11301,24003,39802,62781,125143,202463
"1134","Alford","Berkshire County","MA","Alford","Alford town, Berkshire County, Massachusetts",2012,75417,NA,NA,NA,NA,NA,15871,45852,76167,130410,315771,561931
"1135","Becket","Berkshire County","MA","Becket","Becket town, Berkshire County, Massachusetts",2012,43397,NA,NA,NA,NA,NA,11401,25235,42656,71604,253280,636773
"1136","Cheshire","Berkshire County","MA","Cheshire","Cheshire town, Berkshire County, Massachusetts",2012,49388,NA,NA,NA,NA,NA,14311,29589,50031,78911,169229,280058
"1137","Clarksburg","Berkshire County","MA","Clarksburg","Clarksburg town, Berkshire County, Massachusetts",2012,59219,NA,NA,NA,NA,NA,18840,40332,58923,83901,157156,292711
"1138","Dalton","Berkshire County","MA","Dalton","Dalton town, Berkshire County, Massachusetts",2012,49891,NA,NA,NA,NA,NA,13569,33302,51338,74339,152394,223783
"1139","Egremont","Berkshire County","MA","Egremont","Egremont town, Berkshire County, Massachusetts",2012,53015,NA,NA,NA,NA,NA,14373,31438,51851,79653,184627,393892
"1140","Florida","Berkshire County","MA","Florida","Florida town, Berkshire County, Massachusetts",2012,49191,NA,NA,NA,NA,NA,14445,35699,50761,75609,119009,170119
"1141","Great Barrington","Berkshire County","MA","Great Barrington","Great Barrington town, Berkshire County, Massachusetts",2012,50882,NA,NA,NA,NA,NA,12665,28950,52643,88269,243851,486072
"1142","Hancock","Berkshire County","MA","Hancock","Hancock town, Berkshire County, Massachusetts",2012,75536,NA,NA,NA,NA,NA,22629,50283,75732,94758,145114,183987
"1143","Hinsdale","Berkshire County","MA","Hinsdale","Hinsdale town, Berkshire County, Massachusetts",2012,63158,NA,NA,NA,NA,NA,19195,39631,61257,79057,155773,274139
"1144","Lanesborough","Berkshire County","MA","Lanesborough","Lanesborough town, Berkshire County, Massachusetts",2012,65509,NA,NA,NA,NA,NA,16253,35819,64691,94206,190818,298818
"1145","Lee","Berkshire County","MA","Lee","Lee town, Berkshire County, Massachusetts",2012,53467,NA,NA,NA,NA,NA,15060,32274,54308,84212,165629,266408
"1146","Lenox","Berkshire County","MA","Lenox","Lenox town, Berkshire County, Massachusetts",2012,51266,NA,NA,NA,NA,NA,8637,28122,50786,81024,195687,375262
"1147","Monterey","Berkshire County","MA","Monterey","Monterey town, Berkshire County, Massachusetts",2012,39625,NA,NA,NA,NA,NA,11405,29465,46499,84948,243932,525779
"1148","Mount Washington","Berkshire County","MA","Mount Washington","Mount Washington town, Berkshire County, Massachusetts",2012,59375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1149","New Ashford","Berkshire County","MA","New Ashford","New Ashford town, Berkshire County, Massachusetts",2012,65833,NA,NA,NA,NA,NA,24704,48942,67782,79309,168510,271483
"1150","New Marlborough","Berkshire County","MA","New Marlborough","New Marlborough town, Berkshire County, Massachusetts",2012,66875,NA,NA,NA,NA,NA,14966,36601,64904,88803,206724,397825
"1151","North Adams","Berkshire County","MA","North Adams","North Adams city, Berkshire County, Massachusetts",2012,36510,NA,NA,NA,NA,NA,7986,19780,36454,56790,105899,151250
"1152","Otis","Berkshire County","MA","Otis","Otis town, Berkshire County, Massachusetts",2012,65313,NA,NA,NA,NA,NA,12801,40070,63549,87335,239169,407154
"1153","Peru","Berkshire County","MA","Peru","Peru town, Berkshire County, Massachusetts",2012,63864,NA,NA,NA,NA,NA,17366,36620,60895,88277,124780,164270
"1154","Pittsfield","Berkshire County","MA","Pittsfield","Pittsfield city, Berkshire County, Massachusetts",2012,42076,NA,NA,NA,NA,NA,9985,23824,42744,66892,139337,239502
"1155","Richmond","Berkshire County","MA","Richmond","Richmond town, Berkshire County, Massachusetts",2012,87143,NA,NA,NA,NA,NA,24064,52866,86841,135482,303777,556888
"1156","Sandisfield","Berkshire County","MA","Sandisfield","Sandisfield town, Berkshire County, Massachusetts",2012,62708,NA,NA,NA,NA,NA,18150,35864,61484,83334,159678,270782
"1157","Savoy","Berkshire County","MA","Savoy","Savoy town, Berkshire County, Massachusetts",2012,57000,NA,NA,NA,NA,NA,15978,34377,55627,81492,129015,186356
"1158","Sheffield","Berkshire County","MA","Sheffield","Sheffield town, Berkshire County, Massachusetts",2012,55278,NA,NA,NA,NA,NA,16090,34715,57810,91116,216740,436746
"1159","Stockbridge","Berkshire County","MA","Stockbridge","Stockbridge town, Berkshire County, Massachusetts",2012,54952,NA,NA,NA,NA,NA,14157,33207,55613,80404,216843,409103
"1160","Tyringham","Berkshire County","MA","Tyringham","Tyringham town, Berkshire County, Massachusetts",2012,76442,NA,NA,NA,NA,NA,28484,52598,77990,119622,293771,519202
"1161","Washington","Berkshire County","MA","Washington","Washington town, Berkshire County, Massachusetts",2012,71818,NA,NA,NA,NA,NA,21282,47276,71699,95865,170145,269570
"1162","West Stockbridge","Berkshire County","MA","West Stockbridge","West Stockbridge town, Berkshire County, Massachusetts",2012,72500,NA,NA,NA,NA,NA,17256,43719,71292,105812,187689,263824
"1163","Williamstown","Berkshire County","MA","Williamstown","Williamstown town, Berkshire County, Massachusetts",2012,72125,NA,NA,NA,NA,NA,14240,39015,73218,111795,258635,492952
"1164","Windsor","Berkshire County","MA","Windsor","Windsor town, Berkshire County, Massachusetts",2012,76125,NA,NA,NA,NA,NA,24777,51507,76253,108866,182001,253642
"1165","Acushnet","Bristol County","MA","Acushnet","Acushnet town, Bristol County, Massachusetts",2012,65222,NA,NA,NA,NA,NA,14690,40760,66868,99724,177131,271998
"1166","Attleboro","Bristol County","MA","Attleboro","Attleboro city, Bristol County, Massachusetts",2012,65767,NA,NA,NA,NA,NA,16023,42394,65114,97655,171988,255090
"1167","Berkley","Bristol County","MA","Berkley","Berkley town, Bristol County, Massachusetts",2012,89549,NA,NA,NA,NA,NA,24524,57318,90095,123114,191986,280264
"1168","Dartmouth","Bristol County","MA","Dartmouth","Dartmouth town, Bristol County, Massachusetts",2012,71189,NA,NA,NA,NA,NA,14594,42226,70685,103534,193462,312316
"1169","Dighton","Bristol County","MA","Dighton","Dighton town, Bristol County, Massachusetts",2012,85070,NA,NA,NA,NA,NA,18481,49591,83857,111696,206007,343156
"1170","Easton","Bristol County","MA","Easton","Easton town, Bristol County, Massachusetts",2012,95523,NA,NA,NA,NA,NA,24066,58302,95858,143609,271946,479342
"1171","Fairhaven","Bristol County","MA","Fairhaven","Fairhaven town, Bristol County, Massachusetts",2012,59933,NA,NA,NA,NA,NA,12452,33908,60197,91178,150588,211827
"1172","Fall River","Bristol County","MA","Fall River","Fall River city, Bristol County, Massachusetts",2012,34437,NA,NA,NA,NA,NA,7997,18941,34439,58296,119815,193761
"1173","Freetown","Bristol County","MA","Freetown","Freetown town, Bristol County, Massachusetts",2012,88036,NA,NA,NA,NA,NA,22703,56001,87036,115450,179771,240856
"1174","Mansfield","Bristol County","MA","Mansfield","Mansfield town, Bristol County, Massachusetts",2012,94512,NA,NA,NA,NA,NA,25781,58755,93983,133653,258540,442798
"1175","New Bedford","Bristol County","MA","New Bedford","New Bedford city, Bristol County, Massachusetts",2012,36789,NA,NA,NA,NA,NA,8736,20697,37310,60159,120631,186890
"1176","North Attleborough","Bristol County","MA","North Attleborough","North Attleborough town, Bristol County, Massachusetts",2012,80510,NA,NA,NA,NA,NA,21646,49602,80549,119009,206099,307224
"1177","Norton","Bristol County","MA","Norton","Norton town, Bristol County, Massachusetts",2012,80543,NA,NA,NA,NA,NA,18131,47984,80001,115261,186216,262927
"1178","Raynham","Bristol County","MA","Raynham","Raynham town, Bristol County, Massachusetts",2012,77604,NA,NA,NA,NA,NA,22351,49339,77984,116733,199186,297306
"1179","Rehoboth","Bristol County","MA","Rehoboth","Rehoboth town, Bristol County, Massachusetts",2012,82152,NA,NA,NA,NA,NA,23734,54358,83509,123543,217467,355095
"1180","Seekonk","Bristol County","MA","Seekonk","Seekonk town, Bristol County, Massachusetts",2012,75267,NA,NA,NA,NA,NA,19688,46732,75178,117010,224680,379603
"1181","Somerset","Bristol County","MA","Somerset","Somerset town, Bristol County, Massachusetts",2012,70449,NA,NA,NA,NA,NA,15659,42423,69142,98190,176081,302263
"1182","Swansea","Bristol County","MA","Swansea","Swansea town, Bristol County, Massachusetts",2012,71926,NA,NA,NA,NA,NA,18147,45312,71314,104593,188788,321923
"1183","Taunton","Bristol County","MA","Taunton","Taunton city, Bristol County, Massachusetts",2012,53631,NA,NA,NA,NA,NA,12426,32833,54198,82602,145228,213503
"1184","Westport","Bristol County","MA","Westport","Westport town, Bristol County, Massachusetts",2012,76614,NA,NA,NA,NA,NA,17964,49600,75909,105301,203306,341877
"1185","Aquinnah","Dukes County","MA","Aquinnah","Aquinnah town, Dukes County, Massachusetts",2012,91875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1186","Chilmark","Dukes County","MA","Chilmark","Chilmark town, Dukes County, Massachusetts",2012,61818,NA,NA,NA,NA,NA,11730,32160,59767,117671,445688,1033344
"1187","Edgartown","Dukes County","MA","Edgartown","Edgartown town, Dukes County, Massachusetts",2012,63378,NA,NA,NA,NA,NA,16480,42442,63308,87448,246113,586026
"1188","Gosnold","Dukes County","MA","Gosnold","Gosnold town, Dukes County, Massachusetts",2012,28750,NA,NA,NA,NA,NA,19980,24875,28259,40316,118419,179546
"1189","Oak Bluffs","Dukes County","MA","Oak Bluffs","Oak Bluffs town, Dukes County, Massachusetts",2012,76389,NA,NA,NA,NA,NA,13192,36245,70438,98439,148755,205821
"1190","Tisbury","Dukes County","MA","Tisbury","Tisbury town, Dukes County, Massachusetts",2012,56477,NA,NA,NA,NA,NA,11282,26251,57375,101979,180180,279297
"1191","West Tisbury","Dukes County","MA","West Tisbury","West Tisbury town, Dukes County, Massachusetts",2012,70646,NA,NA,NA,NA,NA,24543,52602,69994,88145,165800,270629
"1192","Amesbury","Essex County","MA","Amesbury","Amesbury Town city, Essex County, Massachusetts",2012,80062,NA,NA,NA,NA,NA,19920,50579,80419,115140,219363,372346
"1193","Andover","Essex County","MA","Andover","Andover town, Essex County, Massachusetts",2012,118324,NA,NA,NA,NA,NA,22949,68434,117814,174176,352592,619930
"1194","Beverly","Essex County","MA","Beverly","Beverly city, Essex County, Massachusetts",2012,67958,NA,NA,NA,NA,NA,13920,42213,69535,109798,228199,385959
"1195","Boxford","Essex County","MA","Boxford","Boxford town, Essex County, Massachusetts",2012,134263,NA,NA,NA,NA,NA,44496,99489,134604,189235,419552,759887
"1196","Danvers","Essex County","MA","Danvers","Danvers town, Essex County, Massachusetts",2012,79183,NA,NA,NA,NA,NA,21035,50449,78599,115857,220804,367941
"1197","Essex","Essex County","MA","Essex","Essex town, Essex County, Massachusetts",2012,82009,NA,NA,NA,NA,NA,23509,49623,80429,118437,229208,378535
"1198","Georgetown","Essex County","MA","Georgetown","Georgetown town, Essex County, Massachusetts",2012,104902,NA,NA,NA,NA,NA,28871,66376,104753,146451,277626,465520
"1199","Gloucester","Essex County","MA","Gloucester","Gloucester city, Essex County, Massachusetts",2012,62059,NA,NA,NA,NA,NA,14649,37169,62696,95487,221979,423924
"1200","Groveland","Essex County","MA","Groveland","Groveland town, Essex County, Massachusetts",2012,94517,NA,NA,NA,NA,NA,24644,65474,95662,126635,233247,362487
"1201","Hamilton","Essex County","MA","Hamilton","Hamilton town, Essex County, Massachusetts",2012,105100,NA,NA,NA,NA,NA,20519,55614,101631,150859,295976,444367
"1202","Haverhill","Essex County","MA","Haverhill","Haverhill city, Essex County, Massachusetts",2012,60271,NA,NA,NA,NA,NA,13465,35445,60587,92017,169055,265061
"1203","Ipswich","Essex County","MA","Ipswich","Ipswich town, Essex County, Massachusetts",2012,82847,NA,NA,NA,NA,NA,20419,50148,82644,125416,242375,394970
"1204","Lawrence","Essex County","MA","Lawrence","Lawrence city, Essex County, Massachusetts",2012,31931,NA,NA,NA,NA,NA,7616,17929,33231,57700,119092,193309
"1205","Lynn","Essex County","MA","Lynn","Lynn city, Essex County, Massachusetts",2012,43741,NA,NA,NA,NA,NA,8786,24378,44002,73185,141040,211162
"1206","Lynnfield","Essex County","MA","Lynnfield","Lynnfield town, Essex County, Massachusetts",2012,106860,NA,NA,NA,NA,NA,22342,66817,107201,156214,289193,443973
"1207","Manchester-by-the-Sea","Essex County","MA","Manchester-by-the-Sea","Manchester-by-the-Sea town, Essex County, Massachusetts",2012,117063,NA,NA,NA,NA,NA,24337,67260,119396,181842,495233,984795
"1208","Marblehead","Essex County","MA","Marblehead","Marblehead town, Essex County, Massachusetts",2012,105090,NA,NA,NA,NA,NA,21795,59788,101225,158860,383532,734179
"1209","Merrimac","Essex County","MA","Merrimac","Merrimac town, Essex County, Massachusetts",2012,78279,NA,NA,NA,NA,NA,23265,52078,76577,107539,242835,477089
"1210","Methuen","Essex County","MA","Methuen","Methuen Town city, Essex County, Massachusetts",2012,65855,NA,NA,NA,NA,NA,15165,38942,65780,99842,175482,257795
"1211","Middleton","Essex County","MA","Middleton","Middleton town, Essex County, Massachusetts",2012,97314,NA,NA,NA,NA,NA,22801,63936,97299,131580,242696,387620
"1212","Nahant","Essex County","MA","Nahant","Nahant town, Essex County, Massachusetts",2012,70750,NA,NA,NA,NA,NA,16679,43263,73068,127019,247859,414232
"1213","Newbury","Essex County","MA","Newbury","Newbury town, Essex County, Massachusetts",2012,90329,NA,NA,NA,NA,NA,22187,50867,88994,140215,231900,308335
"1214","Newburyport","Essex County","MA","Newburyport","Newburyport city, Essex County, Massachusetts",2012,83509,NA,NA,NA,NA,NA,17037,49612,84949,132886,271475,460741
"1215","North Andover","Essex County","MA","North Andover","North Andover town, Essex County, Massachusetts",2012,97044,NA,NA,NA,NA,NA,22145,57944,97587,149938,311060,522984
"1216","Peabody","Essex County","MA","Peabody","Peabody city, Essex County, Massachusetts",2012,67052,NA,NA,NA,NA,NA,15130,39116,65996,97650,192777,321559
"1217","Rockport","Essex County","MA","Rockport","Rockport town, Essex County, Massachusetts",2012,68488,NA,NA,NA,NA,NA,16459,41826,68230,109286,254079,523047
"1218","Rowley","Essex County","MA","Rowley","Rowley town, Essex County, Massachusetts",2012,87946,NA,NA,NA,NA,NA,21636,57466,87490,128221,216881,299597
"1219","Salem","Essex County","MA","Salem","Salem city, Essex County, Massachusetts",2012,56580,NA,NA,NA,NA,NA,11812,31085,56055,86355,172039,282966
"1220","Salisbury","Essex County","MA","Salisbury","Salisbury town, Essex County, Massachusetts",2012,73384,NA,NA,NA,NA,NA,15418,43754,72656,103607,202406,332326
"1221","Saugus","Essex County","MA","Saugus","Saugus town, Essex County, Massachusetts",2012,75910,NA,NA,NA,NA,NA,15080,43711,76391,109817,201442,319716
"1222","Swampscott","Essex County","MA","Swampscott","Swampscott town, Essex County, Massachusetts",2012,93281,NA,NA,NA,NA,NA,17870,58462,94012,143295,319044,521488
"1223","Topsfield","Essex County","MA","Topsfield","Topsfield town, Essex County, Massachusetts",2012,117771,NA,NA,NA,NA,NA,23921,71016,115266,180388,362552,580758
"1224","Wenham","Essex County","MA","Wenham","Wenham town, Essex County, Massachusetts",2012,143182,NA,NA,NA,NA,NA,22152,88046,141269,206243,493602,961314
"1225","West Newbury","Essex County","MA","West Newbury","West Newbury town, Essex County, Massachusetts",2012,112569,NA,NA,NA,NA,NA,22737,58691,108368,162765,440867,841200
"1226","Ashfield","Franklin County","MA","Ashfield","Ashfield town, Franklin County, Massachusetts",2012,69000,NA,NA,NA,NA,NA,17009,42688,67325,95175,179653,279680
"1227","Bernardston","Franklin County","MA","Bernardston","Bernardston town, Franklin County, Massachusetts",2012,46776,NA,NA,NA,NA,NA,16477,29985,47755,73817,142683,242396
"1228","Buckland","Franklin County","MA","Buckland","Buckland town, Franklin County, Massachusetts",2012,51000,NA,NA,NA,NA,NA,16374,33694,54275,86440,148353,206692
"1229","Charlemont","Franklin County","MA","Charlemont","Charlemont town, Franklin County, Massachusetts",2012,52222,NA,NA,NA,NA,NA,14976,37525,52536,80410,132264,182610
"1230","Colrain","Franklin County","MA","Colrain","Colrain town, Franklin County, Massachusetts",2012,54632,NA,NA,NA,NA,NA,18870,35516,53852,77555,182733,358019
"1231","Conway","Franklin County","MA","Conway","Conway town, Franklin County, Massachusetts",2012,76932,NA,NA,NA,NA,NA,20858,48266,76979,103366,185452,299829
"1232","Deerfield","Franklin County","MA","Deerfield","Deerfield town, Franklin County, Massachusetts",2012,66970,NA,NA,NA,NA,NA,18495,42487,67427,97129,214879,388350
"1233","Erving","Franklin County","MA","Erving","Erving town, Franklin County, Massachusetts",2012,52875,NA,NA,NA,NA,NA,14203,31680,51846,76012,123612,168721
"1234","Gill","Franklin County","MA","Gill","Gill town, Franklin County, Massachusetts",2012,67375,NA,NA,NA,NA,NA,19101,48867,67450,96562,160790,226805
"1235","Greenfield","Franklin County","MA","Greenfield","Greenfield Town city, Franklin County, Massachusetts",2012,48370,NA,NA,NA,NA,NA,11172,30523,48082,70023,129705,219972
"1236","Hawley","Franklin County","MA","Hawley","Hawley town, Franklin County, Massachusetts",2012,65833,NA,NA,NA,NA,NA,16872,45960,64990,98778,177040,228814
"1237","Heath","Franklin County","MA","Heath","Heath town, Franklin County, Massachusetts",2012,54286,NA,NA,NA,NA,NA,15834,33415,57987,89790,156031,215236
